Average timer callback time, Average topic callback time,Desired Position Motor #1,Present Position Motor #1,Present Current #1,Present Position Motor #2
53466,0,0,-0.0365794,0,0.192
58674,0,0,-0.0365794,0,0.192
60399.7,49,-0.0358621,-0.0365794,0,0.192
61293.8,33.5,-0.0358621,-0.0365794,0,0.192
61820.2,28,-0.0358621,-0.0365794,0,0.192
62165.2,26.25,-0.0358621,-0.0365794,0,0.192
62417.6,24,-0.0358621,-0.0365794,0,0.192
62608.8,22.6667,-0.0358621,-0.0365794,0,0.192
62748.1,22,-0.0358621,-0.0365794,0,0.192
62866.3,21.25,-0.0358621,-0.0365794,0,0.192
62963.4,20.6667,-0.0358621,-0.0365794,0,0.192
63047.8,20.2,-0.0358621,-0.0365794,0,0.192
63115.8,19.8182,-0.0358621,-0.0365794,0,0.192
63175.3,19.5,-0.0358621,-0.0365794,0,0.192
63220.5,23,-0.0358621,-0.0365794,0,0.192
63264.9,22.5,-0.0358621,-0.0365794,0,0.192
63301.2,22.0667,-0.0358621,-0.0365794,0,0.192
63336.4,21.625,-0.0358621,-0.0365794,0,0.192
63370.2,21.2353,-0.0358621,-0.0365794,0,0.192
63396.3,20.9444,-0.0358621,-0.0365794,0,0.192
63421.8,20.6842,-0.0358621,-0.0365794,0,0.192
63445,20.4,-0.0358621,-0.0365794,0,0.192
63466.1,20.1905,-0.0358621,-0.0365794,0,0.192
63485.4,20,-0.0358621,-0.0365794,0,0.192
63502.2,19.8261,-0.0358621,-0.0365794,0,0.192
63517,19.7917,-0.0358621,-0.0365794,0,0.192
63532.3,19.68,-0.0358621,-0.0365794,0,0.192
63546.3,19.5769,-0.0358621,-0.0365794,0,0.192
63557.9,21.1852,-0.0358621,-0.0365794,0,0.192
63569.5,21,-0.0358621,-0.0365794,0,0.192
63581.8,20.8276,-0.0358621,-0.0365794,0,0.192
63592.6,20.6333,-0.0358621,-0.0365794,0,0.192
63600.3,20.9355,-0.0358621,-0.0365794,0,0.192
63608.5,21.2188,-0.0358621,-0.0365794,0,0.192
63618.1,21,-0.0358621,-0.0365794,0,0.192
63627,20.8529,-0.0358621,-0.0365794,0,0.192
63635.2,20.7143,-0.0358621,-0.0365794,0,0.192
63643.1,20.5833,-0.0358621,-0.0365794,0,0.192
63650.7,20.4324,-0.0358621,-0.0365794,0,0.192
63656.6,21.6053,-0.0358621,-0.0365794,0,0.192
63662.5,21.9487,-0.0358621,-0.0365794,0,0.192
63668,22.15,-0.0358621,-0.0365794,0,0.192
63673.3,22.4878,-0.0358621,-0.0365794,0,0.192
63679.4,22.2857,-0.0358621,-0.0365794,0,0.192
63685.3,22.1163,-0.0358621,-0.0365794,0,0.192
63689.8,21.9773,-0.0358621,-0.0365794,0,0.192
63693.9,22.2222,-0.0358621,-0.0365794,0,0.192
63698,22.413,-0.0358621,-0.0365794,0,0.192
63702.8,22.2766,-0.0358621,-0.0365794,0,0.192
63706.7,22.4375,-0.0358621,-0.0365794,0,0.192
63711.1,22.3061,-0.0358621,-0.0365794,0,0.192
63715.7,22.18,-0.0358621,-0.0365794,0,0.192
63718.2,22.5098,-0.0358621,-0.0358621,0,0.192
63722.4,22.3462,-0.0358621,-0.0322759,0,0.192
63725.9,22.2264,-0.0358621,0.0982623,0,0.192
63728.9,22.1111,-0.0322759,0.547974,0,0.192
63732.5,22,0.0982623,1.31112,0,0.192
63735.4,22.125,0.547974,2.10941,0,0.192
63738.1,22.0175,1.3104,2.91703,0,0.192
63741.3,21.9138,2.10869,3.88459,0,0.192
63744.8,21.8136,2.91703,4.82418,0,0.192
63746.7,21.7167,3.88387,5.84912,0,0.192
63749.8,21.5902,4.82346,7.02539,0,0.192
63752.1,21.9194,5.8484,8.34727,0,0.192
63754.3,22.2063,7.02539,9.47765,0,0.192
63756.5,22.4688,8.34727,10.4509,0,0.192
63758.6,22.3692,9.47765,11.1754,0,0.192
63760.6,22.2727,10.4509,11.8058,0,0.192
63763.2,22.1642,11.1746,12.2778,0,0.192
63765.7,22.0735,11.8051,12.4212,0,0.192
63767.4,22.4058,12.2778,12.4226,0,0.192
63769.7,22.3,12.4212,12.4226,0,0.192
63771.9,22.2113,12.4219,12.4226,0,0.192
63774.1,22.125,12.4219,12.4226,0,0.192
63776.3,22.0274,12.4219,12.4219,0,0.192
63778.3,21.9459,12.4219,12.4205,0,0.192
63779.8,22.1467,12.4212,12.4126,0,0.192
63781.3,22.3289,12.4205,12.409,0,0.192
63782.8,22.2468,12.4126,12.4054,0,0.192
63784.7,22.4359,12.4083,12.4047,0,0.192
63785.4,22.7089,12.4054,12.4033,0,0.192
63787.3,22.6,12.404,12.3904,0,0.192
63788.7,22.5062,12.4026,12.1365,0,0.192
63790.6,22.4268,12.3897,11.468,0,0.192
63792.1,22.3614,12.1365,10.3649,0,0.192
63793.3,22.4524,11.468,9.23307,0,0.192
63794.8,22.3765,10.3642,8.37094,0,0.192
63796.3,22.314,9.23235,7.38617,0,0.192
63798.1,22.2299,8.37094,5.96818,0,0.192
63798.4,22.3977,7.38617,4.2884,0,0.192
63799.9,22.3258,5.96818,2.64519,0,0.192
63801.4,22.2556,4.28768,1.55211,0,0.192
63802.5,22.1758,2.64447,1.16911,0,0.192
63803.4,22.2717,1.5514,1.1397,0,0.192
63804.9,22.1828,1.16839,1.1397,0,0.192
63806.7,22.117,1.1397,1.1397,0,0.192
63807.6,22.1895,1.1397,1.1397,0,0.192
63808.9,22.125,1.1397,1.1397,0,0.192
63809.1,22.2062,1.1397,1.1397,0,0.192
63809.9,22.4184,1.1397,1.1397,0,0.192
63811.2,22.3535,1.1397,1.1397,0,0.192
63812,22.28,1.1397,1.1397,0,0.192
63812.8,22.4851,1.1397,1.1397,0,0.192
63813.6,22.8333,1.1397,1.1397,0,0.192
63814.5,22.9029,1.1397,1.1397,0,0.192
63815.3,22.9615,1.1397,1.1397,0,0.192
63816,23.1714,1.1397,1.1397,0,0.192
63816.9,23.2547,1.1397,1.1397,0,0.192
63817.1,23.4673,1.1397,1.1397,0,0.192
63818.3,23.3796,1.1397,1.1397,0,0.192
63819.5,23.3028,1.1397,1.1397,0,0.192
63820.2,23.5,1.1397,1.1397,0,0.192
63820.9,23.5495,1.1397,1.1397,0,0.192
63821.6,23.8661,1.1397,1.1397,0,0.192
63822.2,23.9115,1.1397,1.1397,0,0.192
63823.4,23.8421,1.1397,1.1397,0,0.192
63823.7,23.9739,1.1397,1.1397,0,0.192
