theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,frame
-13.976668276605835,-5.344338581159931,23.883265296346426,50.905881986971465,4.076817007022363,-2.9377833895812016,-2.682067536473433,0.7101133124880136,8.608935309268583,-14.404209686435966,50.16932485992132,-2.613563976268075,-2.40352595343317,4.111803608032143,0
-17.90843055104004,-5.5252273741383116,23.242769360195147,51.35344996113954,1.971890707315279,-2.7164167969521946,-5.099322206725126,2.5281790891134532,8.937544473883456,-14.598100622466925,54.7007255491646,-1.6856900595154545,-2.4468442223666758,4.905772016332683,1
-19.095451112855386,-6.048764325330142,21.026454645430782,48.814026213069916,1.4999506563394256,-3.1660077403795754,-5.370421843627979,4.756013451936108,8.887374749439791,-13.647862422302172,56.36425267383206,-0.4961297136546437,-2.5220054172318145,4.393318067293963,2
-22.59198641884486,-8.484469717099085,19.963525864625645,43.16324965837387,1.8526188119087188,-3.6934013506492325,-5.687920619521613,7.088591697229756,10.50949990262137,-16.382933758920334,55.034976552188226,0.09153504951674472,-2.6413717130328447,3.8588693167849373,3
-30.013656498094107,-10.45489183759559,16.42168284592893,40.58691024093887,2.1586335240684194,-3.961957927991163,-6.395878948320952,9.16684770395416,10.697845782262785,-15.70437957127901,54.13692217770115,0.32070666712877577,-2.8263536132237754,3.263424320630097,4
-38.586313357331726,-15.113159256431192,17.88374544563536,41.83454191994146,1.5564869619444137,-3.921627014608256,-6.4886563228589,10.288854562652537,12.14297852905821,-21.67793429748231,52.18101411133218,1.0989664326848718,-2.903711398174737,2.3458437784309294,5
-46.42356746642435,-18.823984086211123,17.625284207452882,45.53540982097951,0.7536023933398535,-3.7009351319229262,-6.274132443765057,11.467026567424583,12.68098814515942,-24.907932746223203,51.53650830085845,1.8355436529545808,-2.8970833447000843,1.4233725569944156,6
-55.85417656451794,-24.052688301424077,22.878470340670304,51.147280534505676,-0.8341910001716006,-3.285414092018709,-5.511878140150119,12.42092274871406,12.75749074647506,-25.949840020746173,52.85591972986639,2.8282108514365367,-2.7583917203957298,0.4477214406918008,7
-63.50440404641553,-27.521046140150418,27.72764569171634,56.03799770604901,-2.438907022227376,-2.8725308946625554,-4.529236398711887,12.243474951509063,13.38611891348068,-29.216534173120312,52.52245520835145,3.546137510095572,-2.6650734051280844,-0.376428073540514,8
-68.85625328136923,-29.39113058517452,31.649225973325315,59.18405897650555,-3.956509670458833,-2.4312735603340525,-3.7693226344814232,12.077154519134154,12.859781270531892,-29.353277813271465,52.5717668358022,3.945617192816751,-2.590972979905392,-0.9963350953204854,9
