Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43,Column_44,Column_45,Column_46,Column_47,Column_48,Column_49,Column_50
5.35061,30.75727,33.96055,39.9077,94.26951,11.1947,10.86433,-20.03073,-9.06995,-30.43716,-36.9881,-42.50529,-95.36765,-5.44007,-3.9754,12.13249,15.19647,0.0119,-3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.3469,797.24025,900.0,639.34066,50.0,778.36709,783.46413,900.0,284.19898,58.1714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
5.25992,30.23596,33.38495,39.2313,92.67172,11.00496,10.68019,-19.69123,-8.91622,-29.92128,-36.36118,-41.78486,-93.75125,-5.34787,-3.90802,11.92685,14.9389,0.0117,-2.94915,5.89831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.34102,783.7277,884.74576,628.50438,49.15254,765.17443,770.18508,884.74576,279.38205,57.18544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
5.16923,29.71465,32.80934,38.5549,91.07393,10.81522,10.49605,-19.35172,-8.76249,-29.40539,-35.73427,-41.06443,-92.13485,-5.25566,-3.84064,11.72122,14.68134,0.0115,-2.89831,5.79661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.33514,770.21516,869.49153,617.6681,48.30508,751.98176,756.90602,869.49153,274.56512,56.19949,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
5.07855,29.19334,32.23374,37.87849,89.47615,10.62548,10.31191,-19.01222,-8.60877,-28.88951,-35.10735,-40.344,-90.51845,-5.16346,-3.77326,11.51558,14.42377,0.01129,-2.84746,5.69492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.32926,756.70261,854.23729,606.83181,47.45763,738.7891,743.62697,854.23729,269.74818,55.21353,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
4.98786,28.67203,31.65814,37.20209,87.87836,10.43574,10.12777,-18.67271,-8.45504,-28.37362,-34.48043,-39.62358,-88.90205,-5.07125,-3.70588,11.30995,14.1662,0.01109,-2.79661,5.59322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.32338,743.19006,838.98305,595.99553,46.61017,725.59644,730.34792,838.98305,264.93125,54.22758,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
4.89717,28.15072,31.08254,36.52569,86.28057,10.246,9.94362,-18.33321,-8.30131,-27.85774,-33.85352,-38.90315,-87.28565,-4.97905,-3.6385,11.10431,13.90863,0.01089,-2.74576,5.49153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.3175,729.67752,823.72881,585.15925,45.76271,712.40378,717.06886,823.72881,260.11432,53.24162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
4.80648,27.62941,30.50693,35.84929,84.68278,10.05626,9.75948,-17.99371,-8.14758,-27.34186,-33.2266,-38.18272,-85.66924,-4.88684,-3.57112,10.89868,13.65107,0.01069,-2.69492,5.38983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.31162,716.16497,808.47458,574.32297,44.91525,699.21111,703.78981,808.47458,255.29739,52.25566,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
4.71579,27.1081,29.93133,35.17289,83.08499,9.86652,9.57534,-17.6542,-7.99385,-26.82597,-32.59968,-37.46229,-84.05284,-4.79464,-3.50374,10.69304,13.3935,0.01049,-2.64407,5.28814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.30574,702.65242,793.22034,563.48668,44.0678,686.01845,690.51076,793.22034,250.48046,51.26971,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
4.6251,26.58679,29.35573,34.49649,81.4872,9.67677,9.3912,-17.3147,-7.84013,-26.31009,-31.97276,-36.74186,-82.43644,-4.70243,-3.43636,10.48741,13.13593,0.01029,-2.59322,5.18644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.29986,689.13988,777.9661,552.6504,43.22034,672.82579,677.23171,777.9661,245.66353,50.28375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
4.53442,26.06548,28.78013,33.82008,79.88942,9.48703,9.20706,-16.97519,-7.6864,-25.7942,-31.34585,-36.02143,-80.82004,-4.61023,-3.36898,10.28177,12.87836,0.01008,-2.54237,5.08475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.29398,675.62733,762.71186,541.81412,42.37288,659.63313,663.95265,762.71186,240.84659,49.2978,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
4.44373,25.54417,28.20452,33.14368,78.29163,9.29729,9.02292,-16.63569,-7.53267,-25.27832,-30.71893,-35.301,-79.20364,-4.51802,-3.3016,10.07614,12.6208,0.00988,-2.49153,4.98305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,686.2881,662.11478,747.45763,530.97784,41.52542,646.44046,650.6736,747.45763,236.02966,48.31184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
4.35304,25.02286,27.62892,32.46728,76.69384,9.10755,8.83878,-16.29619,-7.37894,-24.76244,-30.09201,-34.58057,-77.58724,-4.42582,-3.23422,9.8705,12.36323,0.00968,-2.44068,4.88136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.28222,648.60224,732.20339,520.14155,40.67797,633.2478,637.39455,732.20339,231.21273,47.32588,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
4.26235,24.50155,27.05332,31.79088,75.09605,8.91781,8.65464,-15.95668,-7.22521,-24.24655,-29.4651,-33.86015,-75.97084,-4.33362,-3.16684,9.66486,12.10566,0.00948,-2.38983,4.77966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.27634,635.08969,716.94915,509.30527,39.83051,620.05514,624.11549,716.94915,226.3958,46.33993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
4.17166,23.98024,26.47772,31.11448,73.49826,8.72807,8.47049,-15.61718,-7.07149,-23.73067,-28.83818,-33.13972,-74.35444,-4.24141,-3.09946,9.45923,11.8481,0.00928,-2.33898,4.67797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.27046,621.57714,701.69492,498.46899,38.98305,606.86248,610.83644,701.69492,221.57887,45.35397,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
4.08097,23.45893,25.90211,30.43808,71.90047,8.53833,8.28635,-15.27768,-6.91776,-23.21478,-28.21126,-32.41929,-72.73804,-4.14921,-3.03208,9.25359,11.59053,0.00908,-2.28814,4.57627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.26458,608.0646,686.44068,487.63271,38.13559,593.66981,597.55739,686.44068,216.76193,44.36802,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
3.99029,22.93763,25.32651,29.76167,70.30269,8.34859,8.10221,-14.93817,-6.76403,-22.6989,-27.58435,-31.69886,-71.12164,-4.057,-2.96471,9.04796,11.33296,0.00887,-2.23729,4.47458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.25871,594.55205,671.18644,476.79642,37.28814,580.47715,584.27833,671.18644,211.945,43.38206,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
3.8996,22.41632,24.75091,29.08527,68.7049,8.15885,7.91807,-14.59867,-6.6103,-22.18301,-26.95743,-30.97843,-69.50524,-3.9648,-2.89733,8.84232,11.07539,0.00867,-2.18644,4.37288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.25283,581.0395,655.9322,465.96014,36.44068,567.28449,570.99928,655.9322,207.12807,42.39611,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
3.80891,21.89501,24.17531,28.40887,67.10711,7.96911,7.73393,-14.25916,-6.45657,-21.66713,-26.33051,-30.258,-67.88884,-3.87259,-2.82995,8.63669,10.81783,0.00847,-2.13559,4.27119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.24695,567.52696,640.67797,455.12386,35.59322,554.09183,557.72023,640.67797,202.31114,41.41015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
3.71822,21.3737,23.5997,27.73247,65.50932,7.77937,7.54979,-13.91966,-6.30285,-21.15125,-25.70359,-29.53757,-66.27243,-3.78039,-2.76257,8.43105,10.56026,0.00827,-2.08475,4.16949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.24107,554.01441,625.42373,444.28758,34.74576,540.89916,544.44118,625.42373,197.49421,40.42419,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
3.62753,20.85239,23.0241,27.05607,63.91153,7.58963,7.36565,-13.58016,-6.14912,-20.63536,-25.07668,-28.81715,-64.65603,-3.68818,-2.69519,8.22542,10.30269,0.00807,-2.0339,4.0678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.23519,540.50186,610.16949,433.45129,33.89831,527.7065,531.16212,610.16949,192.67727,39.43824,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7979.0,0.0,-3.98936e+27
