theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13
-102.489426518742,82.8344479053637,-11.4245662440809,51.9914434628027,102.924418213901,83.385096948902,14.2866188967702,-51.9914434628026,0,0,0,0,0
-105.037407377488,82.6005212311484,-11.3263497872711,51.9914434628027,105.109390502897,83.2859374895399,14.245631676425,-51.9914434628026,0,0,0,0,0
-105.577192094682,82.7930668076171,-11.4072000549289,51.9914434628027,105.607717694826,83.4313499628376,14.3057313038581,-51.9914434628027,0,0,0,0,0
-105.057954677803,82.6362956953289,-11.3413772965298,51.9914434628026,105.166799513681,83.1772634707512,14.2006908321164,-51.9914434628026,0,0,0,0,0
-104.846642730594,82.6080041774008,-11.3294933106773,51.9914434628027,105.043957549016,83.0142592452303,14.1332407861001,-51.9914434628026,0,0,0,0,0
-104.938092823876,82.53983332256,-11.3008510101873,51.9914434628027,105.08813922589,82.8289980799915,14.0565189612391,-51.9914434628027,0,0,0,0,0
-104.781645594617,82.5383994067616,-11.3002484399727,51.9914434628026,104.985701263215,82.7605651857293,14.0281619558706,-51.9914434628026,0,0,0,0,0
-104.649964669181,81.5794157589825,-13.537170730233,51.9914434628027,104.752694076969,81.8113275815757,16.2699991447949,-51.9914434628026,0,0,0,0,0
-104.68771150928,81.5597412374988,-13.528965966058,51.9914434628027,104.682611144596,81.8071722068304,16.2682942626199,-51.9914434628027,0,0,0,0,0
-104.864541525775,81.5235275944983,-13.51386160374,51.9914434628026,104.699181485744,81.8937033357943,16.3037886433298,-51.9914434628026,0,0,0,0,0
-104.780650829004,81.6089817959086,-13.5494988007781,51.9914434628026,104.490379528375,81.9976228719888,16.3463937870611,-51.9914434628026,0,0,0,0,0
-104.641614613157,81.6721620707356,-13.5758360941923,51.9914434628026,104.201662319469,82.1476777804938,16.4078722062201,-51.9914434628027,0,0,0,0,0
-104.329018119964,81.663332889447,-13.5721561228343,51.9914434628026,103.446693995738,81.395237873906,18.7332093356791,-51.9914434628026,0,0,0,0,0
-103.957573422387,81.6719722141104,-13.5757569645221,51.9914434628027,102.906142236928,81.5218592847876,18.7843739140318,-51.9914434628026,0,0,0,0,0
-103.603831814976,81.7204791384062,-13.5959712914046,51.9914434628026,102.509710009139,81.6889170118183,18.8518222293909,-51.9914434628027,0,0,0,0,0
-102.571762783405,80.8751417604293,-15.8848844285006,51.9914434628027,101.273325982742,80.9589596182942,21.1881113614262,-51.9914434628027,0,0,0,0,0
-101.762127967294,80.9938955457081,-15.9338522040752,51.9914434628027,100.518587651471,81.1345618488866,21.257866608249,-51.9914434628026,0,0,0,0,0
-101.011208392405,81.1185739491423,-15.9852255121318,51.9914434628026,99.7417593422083,81.3048084840784,21.3254258768573,-51.9914434628026,0,0,0,0,0
-99.8383753913034,80.3642338108331,-18.3151783805974,51.9914434628027,98.4052388789206,80.6550554513722,23.6942815026717,-51.9914434628026,0,0,0,0,0
-98.6234656679652,80.5265566930646,-18.381169267147,51.9914434628026,97.3341491052238,80.9390541583885,23.8048313750189,-51.9914434628027,0,0,0,0,0
-97.5143954368007,80.6557335723024,-18.4336367481829,51.9914434628027,96.1567047403941,81.3862554843963,23.9785321578735,-51.9914434628027,0,0,0,0,0
-96.753832794878,80.9774504099202,-18.5641263857788,51.9914434628026,95.2590823671563,81.9145629999337,24.1831704335579,-51.9914434628027,0,0,0,0,0
-95.7258397877302,81.5256721341964,-18.7859140248722,51.9914434628026,93.903425813313,82.7303674103902,24.4980550697274,-51.9914434628027,0,0,0,0,0
-94.5529701863722,82.2153456927352,-19.0639645199885,51.9914434628026,92.454524350816,83.8207609549308,24.9170378985707,-51.9914434628026,0,0,0,0,0
-93.2633805342767,83.1866692763041,-19.4539144375639,51.9914434628026,90.4776366831736,84.3770114345024,27.7149081650099,-51.9914434628026,0,0,0,0,0
-91.3645048081716,84.5208440078691,-19.9868134849568,51.9914434628027,88.0337448501332,85.042387139071,30.5298639850968,-51.9914434628026,0,0,0,0,0
-90.2634290507669,85.4850420491958,-20.3703039670829,51.9914434628026,86.9209005593944,86.3324326883754,30.9970289376272,-51.9914434628026,0,0,0,0,0
-89.2785310473556,86.3286293702336,-20.7049155496909,51.9914434628026,85.8608877279531,87.380924852417,31.3756400349925,-51.9914434628026,0,0,0,0,0
-88.5815582383374,86.9491610574885,-20.9506077881599,51.9914434628026,85.1470276412067,88.0843668594426,31.6292585805382,-51.9914434628026,0,0,0,0,0
-88.2576678679641,87.2778556538359,-21.0806227641626,51.9914434628026,84.7604919697621,88.3977018380972,31.7421519464355,-51.9914434628026,0,0,0,0,0
-88.0881852897171,87.4598729688989,-21.1525861399721,51.9914434628026,84.5281103719372,88.5257642714479,31.7882813446684,-51.9914434628026,0,0,0,0,0
-87.9194919244211,87.5541745772839,-21.1898610502265,51.9914434628026,84.2857831397225,88.5509216448748,31.7973426083316,-51.9914434628026,0,0,0,0,0
-87.7604439228185,87.6527365799347,-21.2288139464741,51.9914434628026,84.1401762547222,88.6290784837327,31.8254920392969,-51.9914434628027,0,0,0,0,0
-87.7661957515353,87.648041584398,-21.2269585637075,51.9914434628026,84.1594162106724,88.5036620561094,31.7803203178458,-51.9914434628026,0,0,0,0,0
-87.7459036690385,87.7004943661879,-21.2476862564949,51.9914434628026,84.2292534663856,88.4227448036286,31.7511731464714,-51.9914434628027,0,0,0,0,0
-87.7516046024101,87.7096152808162,-21.251290386922,51.9914434628026,84.2468220969888,88.3473856629288,31.7240258919375,-51.9914434628027,0,0,0,0,0
-87.2576396877433,86.9244079677683,-23.5264228712479,51.9914434628027,84.1271152435552,88.2275874643581,31.6808654265418,-51.9914434628027,0,0,0,0,0
-87.2697210092544,86.9274256640844,-23.5275940146348,51.9914434628026,84.1630492341558,88.11298878463,31.6395726646122,-51.9914434628026,0,0,0,0,0
-87.2454297104758,86.9186848006004,-23.524201737057,51.9914434628027,84.1866933971118,88.0750519795818,31.6259018282781,-51.9914434628027,0,0,0,0,0
-87.1164632871634,86.9361157519552,-23.530966527286,51.9914434628027,83.5811535671618,87.2112911778027,33.8459461789367,-51.9914434628026,0,0,0,0,0
