theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,frame
-96.5870218109193,84.0564844924183,-12.0989459237616,38.3332090238759,98.3952869770039,84.5526257381056,14.7627598503694,-41.3660192071126,0,0,0,0,0
-98.3767862167791,83.9739318518879,-12.1058460734185,36.5984083826438,98.8793816415092,84.8978995864315,14.8875935290962,-37.3972215041337,0,0,0,0,0
-98.920898309409,84.1744772782282,-12.1634817328521,36.5984083826437,99.0385983386854,85.1399501853783,14.9605948097995,-36.5984083826438,0,0,0,0,0
-98.3981431080052,84.0111933518371,-12.1165581339603,36.5984083826437,98.5919456207402,84.8755933221623,14.8857529341467,-36.5984083826436,0,0,0,0,0
-98.186191122742,83.9817258675093,-12.1080868493843,36.5984083826437,98.4653579822527,84.7059924945624,14.8377036582071,-36.5984083826437,0,0,0,0,0
-98.2760924424451,83.910720609586,-12.0876703873312,36.5984083826437,98.5052189363987,84.513226385482,14.783058133657,-36.5984083826439,0,0,0,0,0
-98.1196125366386,83.9092270621866,-12.0872408808005,36.5984083826437,98.4011678022165,84.4420191829994,14.7628630245754,-36.5984083826437,0,0,0,0,0
-98.0361168106668,83.2127978604263,-14.4133848535934,36.5984083826438,98.2297111699306,83.7525707181462,17.0905745897914,-36.5984083826438,0,0,0,0,0
-98.0733516268399,83.1923194568721,-14.4075478771717,36.5984083826438,98.1595172504571,83.7482505406595,17.0893628839189,-36.5984083826437,0,0,0,0,0
-98.2492371447716,83.1546258777592,-14.3968026893163,36.5984083826438,98.1783916289326,83.838212546316,17.1145907926717,-36.5984083826438,0,0,0,0,0
-98.1675709455194,83.2435717354372,-14.4221553861363,36.5984083826437,97.9723368834555,83.946249744944,17.144875771968,-36.5984083826437,0,0,0,0,0
-98.0301699075139,83.3093322553069,-14.4408932041133,36.5984083826437,97.6875484372275,84.1022453256653,17.1885823053861,-36.5984083826438,0,0,0,0,0
-97.7173453898717,83.300142561543,-14.4382750072204,36.5984083826437,97.0102029926067,83.6141798120162,19.5738421475688,-36.5984083826436,0,0,0,0,0
-97.3461238151197,83.3091346466953,-14.4408369053557,36.5984083826438,96.5951012720574,83.7025376410601,19.5968306981204,-36.8893664922503,0,0,0,0,0
-96.993632169019,83.3596218232653,-14.4552191820548,36.5984083826437,96.3434066455361,83.8262088219134,19.6300705197556,-37.2241649973076,0,0,0,0,0
-96.022894076017,82.7791339216316,-16.8169953548298,36.5984083826438,95.5636369227016,83.1979491122023,21.9757934276432,-38.1242134077872,0,0,0,0,0
-95.2166413849153,82.9026268551522,-16.8517667311359,36.5984083826437,94.909819159211,83.3409335843056,22.0161376833404,-38.3574491983062,0,0,0,0,0
-94.4692417101784,83.032276390628,-16.8882507425611,36.5984083826438,94.1220081792837,83.5231550405645,22.0680386205652,-38.319656439199,0,0,0,0,0
-93.3713450404724,82.5433279625491,-19.277398472862,36.5984083826438,92.9540591587918,83.0687243168748,24.4666911853638,-38.5113131197949,0,0,0,0,0
-92.1613872457785,82.7119454898463,-19.3241711293652,36.5984083826437,91.7014213262756,83.447831154697,24.5707078659103,-38.0423455653036,0,0,0,0,0
-91.0562191671936,82.846125935461,-19.3613651755469,36.5984083826437,90.3004542107707,84.0177714718103,24.7232844153041,-37.456885935725,0,0,0,0,0
-90.3052268590042,83.1802825909692,-19.453893841746,36.5984083826437,89.0722400488249,84.7235722143533,24.9038561849718,-36.5984083826437,0,0,0,0,0
-89.2930590446391,83.7496334929146,-19.6112436403433,36.5984083826437,87.7397568447247,85.5682107256208,25.1271529722161,-36.5984083826438,0,0,0,0,0
-88.1392425932401,84.4657707817139,-19.808660322622,36.5984083826437,86.3198456062483,86.6969005252185,25.4247389362286,-36.5984083826439,0,0,0,0,0
-86.8748954465522,85.4741601336224,-20.0858167848433,36.5984083826437,84.4943879093957,87.5438478925567,28.1369432594321,-36.5984083826436,0,0,0,0,0
-85.0077170212679,86.8588966045015,-20.4651454686287,36.5984083826437,82.2159984228324,88.4938928702416,30.8582794292524,-36.5984083826437,0,0,0,0,0
-83.9274488090983,87.8594141605531,-20.7385475282003,36.5984083826437,81.133398253537,89.82442345864,31.1913476046374,-36.5984083826438,0,0,0,0,0
-82.9593369887178,88.7346460020345,-20.9774046162,36.5984083826437,80.0958711349573,90.9056382671555,31.4619521733043,-36.5984083826437,0,0,0,0,0
-82.2738780517071,89.3783856381874,-21.1529726265634,36.5984083826437,79.3960649457129,91.6309555250731,31.6435644303954,-36.5984083826436,0,0,0,0,0
-81.9558029106379,89.7193519349407,-21.245943937837,36.5984083826438,79.0155260509051,91.9540162955374,31.7244955466059,-36.5984083826437,0,0,0,0,0
-81.7894565392812,89.9081588246371,-21.2974230743497,36.5984083826437,78.7855490037084,92.0860507341329,31.7575809129955,-36.5984083826437,0,0,0,0,0
-81.6223645339647,90.0059764412893,-21.3240932384471,36.5984083826437,78.5436909826626,92.1119881940303,31.7640810182142,-36.5984083826438,0,0,0,0,0
-81.4649731405469,90.1082121526633,-21.3519680178175,36.5984083826437,78.3995352070875,92.1925681306593,31.784276342881,-36.5984083826437,0,0,0,0,0
-81.4706464528753,90.1033421864739,-21.350640208444,36.5984083826437,78.4164417591299,92.063263113989,31.7518703617387,-36.5984083826437,0,0,0,0,0
-81.4512293107432,90.1577496034893,-21.3654745655372,36.5984083826438,78.4847598764571,91.9798361318486,31.7309650823565,-36.5984083826438,0,0,0,0,0
-81.4570818816282,90.1672103729245,-21.3680540821581,36.5984083826437,78.5009040697116,91.9021390369751,31.7114975619553,-36.5984083826438,0,0,0,0,0
-81.0655609745628,89.6338411294835,-23.7126067140063,36.5984083826437,78.3789136091576,91.7786229576259,31.6805534847822,-36.5984083826438,0,0,0,0,0
-81.0776997739979,89.6369673597845,-23.7134438734269,36.5984083826438,78.4126410238581,91.6604663071175,31.6509560901864,-36.5984083826437,0,0,0,0,0
-81.0532419436383,89.6279121203617,-23.7110190091445,36.5984083826438,78.4355499555894,91.6213513510281,31.6411588906832,-36.5984083826438,0,0,0,0,0
-80.9246074806034,89.6459699869916,-23.7158546439194,36.5984083826437,77.9734107667903,90.9813706555185,33.9345064120536,-36.5984083826437,0,0,0,0,0
-80.9714648137804,89.6522975246056,-23.7175490620521,36.5984083826437,78.360891711551,91.4701872065014,31.6033000978464,-36.5984083826437,0,0,0,0,0
-81.0955452266963,89.5937468174604,-23.7018699796491,36.5984083826437,78.5738577872978,91.3418092028021,31.5711522271247,-36.5984083826437,0,0,0,0,0
-81.2856540046405,89.5300720855293,-23.6848184848676,36.5984083826438,78.814944716965,91.2345652191477,31.5442993291463,-36.5984083826438,0,0,0,0,0
-81.321692741942,89.5146845391169,-23.6806977978995,36.5984083826437,78.8483205011138,91.137942722177,31.5201078715216,-36.5984083826437,0,0,0,0,0
