theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,frame
-155,20.786400517176,99.0535512594217,51.0497598534721,155,19.8221823240299,-105,-50.5052457895499,0,0,0,0,0
-155,21.8284484077078,99.149230122383,46.8450889224293,155,21.0998134325146,-105,-45.651626047914,0,0,0,0,0
-154.959291846978,21.65082529418,91.6477509756953,47.4552862668069,155,20.9296996032725,-105,-46.2231001814951,0,0,0,0,0
-152.818736771154,22.1500473981184,88.6924793384948,46.8582639224383,155,21.4258014189626,-103.435915398888,-45.5006973328742,0,0,0,0,0
-150.293967818651,22.1462141642645,88.5738905894922,46.3793545726128,155,21.2927195517282,-103.074051720018,-45.0157450609599,0,0,0,0,0
-150.070870744667,22.16206391946,89.0117124058812,45.7720278818089,155,21.362775591801,-103.202272346968,-44.3667337305629,0,0,0,0,0
-150.576106233491,22.1028749010682,89.5550250089185,45.3148606929671,155,21.3324126766691,-103.381717048152,-43.9360511008868,0,0,0,0,0
-148.72177749021,22.0092120876347,90.1563627528928,45.0248424541846,155,21.2847816424386,-103.319179784523,-43.6788041765187,0,0,0,0,0
-148.83115378399,22.0265011575545,90.274552572728,44.8563413587459,155,21.1040068983452,-103.315098264871,-43.5797137625241,0,0,0,0,0
-148.623445119821,22.0605269166961,90.0538236838306,44.8130860443625,155,21.1383837512565,-102.879165366767,-43.5452999185964,0,0,0,0,0
-148.378141362491,22.0827577380272,89.792470258974,44.8016261512583,155,21.1289853575987,-102.439684973369,-43.5650002553192,0,0,0,0,0
-148.102936544674,22.1383683202793,89.4998123401074,44.7761096918527,155,21.1229239772112,-101.80534245795,-43.5947943324544,0,0,0,0,0
-147.776945802984,22.185190643163,89.1521788106938,44.7964671469703,155,21.1683968451172,-101.228617551706,-43.6415079330354,0,0,0,0,0
-147.545993725738,22.2735921453975,88.9076081600089,44.731241044596,155,21.2520594025586,-100.654359516238,-43.6286562301723,0,0,0,0,0
-147.20671982085,22.3159544548244,88.5453863438245,44.7491347074454,154.503593984954,21.3104683688747,-100.102995341389,-43.6787607679486,0,0,0,0,0
-145.386911002084,22.3660320862343,88.4787409198786,44.7592657206938,154.038135854258,21.3465150045786,-99.6151320027817,-43.7361285492841,0,0,0,0,0
-145.163456967978,22.3997391579547,88.2379004614822,44.7530905402961,153.668357174456,21.3885088614317,-99.2274454106086,-43.7664797445761,0,0,0,0,0
