theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13
-155.76095483767676,22.229325450383765,97.90724495604998,51.99144346280266,154.6962821918234,21.632876454183574,-105.13588814422468,-51.991443462802636,0.0,0.0,0.0,0.0,0.0
-154.55107545547838,22.97063657270213,95.46855611947754,51.99144346280265,154.9486595159369,22.503729863979405,-104.41226768098241,-51.99144346280263,0.0,0.0,0.0,0.0,0.0
-153.46526472655447,23.589957491309736,93.48149832724734,51.991443462802636,155.12252459285614,23.21737160993203,-103.75378070111938,-51.99144346280262,0.0,0.0,0.0,0.0,0.0
-152.494193142401,24.09788593052846,91.90377122778109,51.99144346280263,155.22365377491784,23.78814212674285,-103.15501162577624,-51.99144346280262,0.0,0.0,0.0,0.0,0.0
-151.62853119451393,24.50501961468018,90.69307446950052,51.99144346280262,155.2578234144587,24.230381849113282,-102.61054487609364,-51.991443462802614,0.0,0.0,0.0,0.0,0.0
-150.85894937438917,24.821956268086776,89.80710770082733,51.991443462802614,155.23080986381538,24.558431211744733,-102.11496487321223,-51.991443462802614,0.0,0.0,0.0,0.0,0.0
-150.17611817352272,25.059293615070132,89.20357057018325,51.99144346280261,155.14838947532465,24.7866306493386,-101.66285603827265,-51.99144346280261,0.0,0.0,0.0,0.0,0.0
-149.5707080834105,25.227629379952123,88.84016272598997,51.99144346280261,155.01633860132313,24.929320596596305,-101.24880279241559,-51.99144346280261,0.0,0.0,0.0,0.0,0.0
-149.03338959554844,25.337561287054633,88.67458381666923,51.9914434628026,154.84043359414758,25.00084148821925,-100.86738955678166,-51.9914434628026,0.0,0.0,0.0,0.0,0.0
-148.55483320143256,25.399687060699538,88.66453349064274,51.9914434628026,154.62645080613464,25.01553375890884,-100.51320075251154,-51.9914434628026,0.0,0.0,0.0,0.0,0.0
-148.1257093925568,25.42460442520838,88.7677113963311,51.99144346280192,154.38016658961902,24.98773784336616,-100.18082080074453,-51.991443462801925,0.0,0.0,0.0,0.0,0.0
-147.6244241016957,25.36392210910874,88.89077141929702,51.991443462801925,154.12286230277584,24.869218357691402,-99.8194184363843,-51.99144346280193,0.0,0.0,0.0,0.0,0.0
-147.23604600256735,25.444610447796055,89.23453980218986,51.991443462801925,153.83985068012464,24.915637825170162,-99.53096654026203,-51.99144346280194,0.0,0.0,0.0,0.0,0.0
