theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,frame
-142.059750757576,25.2645942835401,54.972775003302,42.5614155524006,147.353036122567,23.4016231939432,-65.6006416696885,-45.1118244837585,0,0,0,0,0
-142.229451595766,26.119802804326,61.23098573932,37.626500210677,147.33895991581,23.6012490861802,-71.2600409039665,-40.616137265985,0,0,0,0,0
-144.906527351907,24.0791050301378,64.3381173431479,38.1706116599973,150.775189119076,21.1044860315556,-75.1582958374183,-41.1766301134391,0,0,0,0,0
-147.101598395833,23.2088298866101,67.7729058964762,37.3163100413973,153.168027777019,20.1124411034613,-78.6478566484379,-40.3616229034764,0,0,0,0,0
-147.492662146496,22.8419980134993,68.4888461139956,36.5796702192413,153.299371991885,19.7585350700291,-79.1410356784582,-39.5543779458685,0,0,0,0,0
-147.584010024656,22.706140130521,69.2126285328724,35.6978777287406,153.053895972487,19.6727348210596,-79.5444080415384,-38.6518107237878,0,0,0,0,0
-147.381068578251,22.5833803161391,69.4157711579842,35.0558516736115,152.606649062332,19.6546251059446,-79.5303385790313,-37.9412831509254,0,0,0,0,0
-147.239013208422,22.4458308599762,69.6093189450974,34.6635292828637,152.119294920609,19.6348412967893,-79.3876200962999,-37.4757769982128,0,0,0,0,0
-147.353051493341,22.3114834417696,69.8467896484079,34.4983636541786,152.181799989195,19.5901203432996,-79.5052599006818,-37.2004454218055,0,0,0,0,0
-147.645173280787,22.1445111481232,70.1396604685647,34.4182727879533,152.418733552802,19.487330986167,-79.7395077191166,-37.1211293967659,0,0,0,0,0
-147.813549667193,21.9820570772344,70.3158590661996,34.4054453627211,152.664610794442,19.370733720161,-79.9229277178187,-37.0776241927613,0,0,0,0,0
-148.079340358345,21.7519387912863,70.5837432324941,34.3945162566646,153.012649435812,19.2521900120382,-80.2307561185211,-37.0235657706205,0,0,0,0,0
-148.467427988933,21.5672090978169,70.9008921692032,34.422621238033,153.391813697993,19.1231288303323,-80.489233651003,-37.0317487664585,0,0,0,0,0
-148.907091689549,21.4049787960474,71.4208407150292,34.4127079645059,153.764251216332,19.0326752930658,-80.9281194605223,-36.9409166303396,0,0,0,0,0
-149.307149166656,21.2424714127585,71.7755776453889,34.4599502375233,154.080226837814,18.9088066792663,-81.2216679016256,-36.9558261406408,0,0,0,0,0
-149.648926762604,21.091570682852,72.0286073049877,34.5174406580865,154.370893009341,18.802325779865,-81.4220722016393,-36.945429404337,0,0,0,0,0
-149.929784532892,20.9762091840059,72.2940637736044,34.544937947752,154.609104336442,18.7033796129787,-81.6406916743281,-36.9152325216578,0,0,0,0,0
-150.283878165449,20.8930851539298,72.6631582803057,34.4793070372698,154.74142267933,18.6469411173906,-81.7627961688281,-36.8545315031753,0,0,0,0,0
-150.435758914478,20.8392232368143,72.8273618516701,34.4235896273262,155.096062366968,18.5906108484077,-82.1343355255384,-36.8165167703872,0,0,0,0,0
-150.67467712356,20.738034932012,73.0229916039983,34.4397178342718,155.165850702031,18.5083086886457,-82.1144983363409,-36.838657262821,0,0,0,0,0
-150.900428063876,20.6748017906222,73.2123947767513,34.3736167301704,155.429461177794,18.4541152234935,-82.2749577164762,-36.7969947936828,0,0,0,0,0
-150.982084097972,20.580455082129,73.2307538514629,34.4239751099858,155.547609248807,18.3749488901952,-82.2109283293701,-36.8646424516938,0,0,0,0,0
-151.048922698832,20.492796621838,73.1665315724894,34.5010910984017,155.652229277493,18.2973786801838,-82.205305512715,-36.9090731177504,0,0,0,0,0
-151.021949301106,20.4434201650846,72.9877668017998,34.5876530879201,155.644559693153,18.258938193985,-82.0912296851165,-36.9594629905308,0,0,0,0,0
-151.164046538857,20.3456665864468,73.1247309662225,34.573775443987,155.745537331945,18.2272206621951,-82.0629366001269,-36.9674140393856,0,0,0,0,0
-151.131374742844,20.2985440756947,73.0291038598593,34.5778240931126,155.69183534374,18.1980494757456,-81.9244184050431,-36.9469969619863,0,0,0,0,0
