theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,frame
-98.08749100767938,84.764900276669,-4.681528893581316,28.29882286208985,96.5871531267125,86.54401764223054,5.590298993535726,-28.2988228620897,-29.391881984555038,0.6708108375233587,2.010088738038926,1.1301628157927703,-0.48411713041583293,-0.9408267677916413,-5.3915025920034445,0
-98.94275933931804,84.80998932129539,-4.672733628397768,28.298822862089697,97.45405215593368,86.63158233824667,5.571353200127695,-28.298822862089683,-32.14188198455504,0.6352314244485933,2.023106997798615,1.047968966151273,-0.4967464692631864,-0.9117854632270228,-5.160341718198509,1
-99.74471858826281,84.68549432137374,-5.403333139816261,28.29882286208962,98.28036322522539,86.71705397988393,5.5551402591484855,-28.29882286208962,-34.89188198455504,0.5987001190774359,2.0373475784230135,0.9577918675400762,-0.5098857548096414,-0.8839362873556874,-4.937183710559694,2
-100.51873641432026,84.71592303977484,-5.416005091343417,28.298822862089747,99.06249211129766,86.80026868367983,5.5415326202476205,-28.29882286208958,-37.64188198455504,0.5632281438154783,2.0529022232818694,0.8591852729180729,-0.5235503217054319,-0.857367099687658,-4.722475295344713,3
-101.28667139166471,85.26818851978894,-3.9160050913434166,28.29882286208972,99.79691372301151,86.88107081911569,5.5303865513621,-28.29882286208959,-40.39188198455504,0.5317776828777575,2.0698625173686374,0.7517053527348527,-0.5377556698562127,-0.8321653649379169,-4.516660793023375,4
-101.80065832923069,85.30861962988259,-3.102311343071639,28.29882286208972,100.33525190604827,86.94250403506918,5.494656034248099,-28.298822862089708,-42.34621977894705,0.6245321300417807,2.0586462616780556,0.8581984616110726,-0.5669513090974563,-0.8077617822185501,-4.316649794229121,5
-102.29189628876179,85.34602091628501,-3.137639182411845,28.298822862089647,100.85892699107846,87.09628137855105,5.041789787426506,-28.298822862089843,-39.59621977894705,0.7277959788901426,2.048270957529637,0.958923524151564,-0.5965092715965612,-0.7841491170655047,-4.122424020521871,6
-102.73085207995445,85.37687361858272,-3.172461426005318,28.29882286208972,101.31932219773506,87.15034201206878,5.026020360327987,-28.29882286208973,-36.84621977894705,0.8326064431430945,2.039658047036314,1.0488500864579777,-0.6266609900036578,-0.7622560327721764,-3.9390189539774076,7
-103.08852073426586,85.3977589052813,-3.206760300286057,28.29882286208985,101.69502324190839,87.20109421284471,5.0077332012049025,-28.2988228620897,-34.09621977894705,0.9323451902205568,2.033726637676396,1.1229664149222678,-0.6576237206007253,-0.743009109365163,-3.7714508417156734,8
-103.43187205546039,85.43882034228253,-3.1917648060927126,28.298822862089697,102.00884568997778,87.22537200298092,5.036656230791353,-28.298822862089494,-31.346219778947052,1.003112595475232,2.017901255127933,1.1661176909861208,-0.6354542746135798,-0.7257162468087013,-3.6171433757563722,9
-103.76933410009406,86.00568316341077,-1.6917648060927126,28.29882286208985,102.29965509680548,87.24792491563423,5.0646445687396255,-28.298822862089587,-28.596219778947052,1.0680517921599542,2.0032559705731656,1.1998780276168863,-0.6137769664256781,-0.7096569137603007,-3.4722381463751026,10
-104.03267342339068,86.036677588369,-0.802543311972065,28.29882286208972,102.53344070059833,87.26719397594876,5.090529993908684,-28.298822862089597,-25.846219778947052,1.1261216854888556,1.990667706880397,1.221177033909978,-0.5927334969256567,-0.6957125418865169,-3.339808533771389,11
-104.209555469677,86.054633594549,-0.7864051546543547,28.29882286208972,102.71265630147083,87.80893055525094,3.5905299939086843,-28.298822862089832,-23.096219778947052,1.1765207587188595,1.981012817890751,1.2269517288606355,-0.5724565783074131,-0.6847633348501706,-3.222920179739815,12
-104.33957778945789,86.05320286917775,-0.8028456418224784,28.29882286208985,102.83571721995413,87.83073135629836,2.7418812293650277,-28.298822862089587,-20.346219778947052,1.1902433599863198,1.9734273614329603,1.1901568235723414,-0.5878529767182632,-0.6756300078847091,-3.1191051035030943,13
-104.46033340907313,86.05110994441364,-0.8193555704535695,28.29882286208972,102.95222730269724,87.85162655698365,2.7294053202497213,-28.29882286208968,-18.06152402454942,1.1956525412125838,1.9667092914201159,1.14421999897651,-0.6036381818264952,-0.6673387767937112,-3.0244403578850143,14
-104.56697480888043,86.04777131264616,-0.8359233318415032,28.29882286208972,103.05980176199587,87.86929162772184,2.715992857085189,-28.298822862089686,-17.91384754794446,1.1949671532667558,1.9620436360659124,1.0882655365266933,-0.6198956946636967,-0.661076593823361,-2.939803993915631,15
-104.65464486933197,86.04261026403351,-0.8525400832691259,28.298822862089697,103.15605373582365,87.88140001724955,2.7010618741541546,-28.29882286208968,-17.83560146133248,1.1904404102002457,1.9606155136740493,1.021418049269053,-0.6367033772136158,-0.6580295573645456,-2.8660735299730584,16
-104.70552166623894,86.0291276276002,-0.8677515598496669,28.298822862089747,103.21673717254382,87.89124603207577,2.6851354681987347,-28.298822862089963,-17.847146347216647,1.1879095043030037,1.9636266902168125,0.9520143112014656,-0.653724987258437,-0.6570860799882768,-2.801832811065083,17
-104.72728077734651,86.00755358652059,-0.8818640445566579,28.29882286208985,103.24511149455088,87.90013716369177,2.6682088090364067,-28.298822862089928,-17.980170396481647,1.179349815750699,1.966889364636241,0.8757656824452758,-0.6709939939009015,-0.6563612346125123,-2.744442463462446,18
-104.73669279074228,85.98191481074927,-0.8953756005248572,28.298822862089647,103.26274171380432,87.90821619726972,2.6508325677176137,-28.298822862089935,-18.210871573419755,1.1681320846660566,1.9704306047441194,0.7936276798048544,-0.6884792918131108,-0.6558806702606471,-2.6929464768361107,19
-104.74807615789877,86.48470789436037,0.6046243994751428,28.298822862089647,103.29123545361362,87.91564400456316,2.6335689381574077,-28.298822862089676,-18.5139106272718,1.1576242253934155,1.9742773258170474,0.7065542931341242,-0.7061496776127011,-0.6556699879738734,-2.646390363852325,20
-104.72913350033764,86.46502972590999,1.4393086861830688,28.29882286208972,103.29109924985612,87.91305113939259,2.6197154379105756,-28.29882286208963,-17.756811238749993,1.1925601629691769,1.9734033464179266,0.6651750106728237,-0.7175268719450291,-0.6569011935324511,-2.604621387125676,21
-104.70652228068204,86.44267699328263,1.430462311592207,28.298822862089647,103.29373800942412,87.90534728434554,2.6047832809740568,-28.2988228620897,-17.014989987657255,1.2249012758809472,1.9745241391035229,0.6196663138426729,-0.7291332129951629,-0.6601160974515161,-2.5669869050140486,22
-104.67852643335533,86.41949126047042,1.421674739790853,28.29882286208972,103.29656617725536,87.89484488493162,2.5892291616429537,-28.298822862089683,-16.292509685606348,1.2566561591547596,1.9767228692637646,0.5717278463654342,-0.7408657109038399,-0.6643952210608158,-2.5317847407938867,23
-104.64339066566802,86.39730398316425,1.4124929123199688,28.29882286208972,103.29696216223194,87.88384862029781,2.5735077362887684,-28.29882286208971,-15.59762945723411,1.2898183428813403,1.979082475405951,0.5230579832317833,-0.7526239023560795,-0.6688193130496541,-2.497314071102796,24
-104.63251280555241,86.3813797491363,1.4251704667953784,28.298822862089647,103.30881650948255,87.86618239011983,2.5792800534350446,-28.298822862089608,-15.231018501533702,1.302658492090608,1.982809705352998,0.4499897406081924,-0.7422995683694352,-0.6735183736696919,-2.4638611155403765,25
-104.61445845573576,86.36546060662415,1.4376792745591642,28.29882286208972,103.32184587561355,87.84584060102331,2.5844834129185803,-28.298822862089715,-14.899236026740192,1.3161809488592584,1.9873762279715201,0.3753586514288748,-0.7320599929104391,-0.6790783483225099,-2.431973234455681,26
-104.57927179587226,86.35161435026852,1.449314386265513,28.29882286208972,103.32507116666886,87.82465516822906,2.5892647463832605,-28.298822862089686,-14.595759868404052,1.3303025512858402,1.9925477056709344,0.30047108182161286,-0.7218487582027687,-0.6852640092141691,-2.4003429035134918,27
-104.51693786321393,86.34187812971139,1.4593787751512957,28.29882286208962,103.30749273115603,87.80444236921375,2.593769247006163,-28.298822862089708,-14.314187631646726,1.3449444920356262,1.9980894310819748,0.22663253901637664,-0.7116095801299361,-0.6918400757578239,-2.3676634584528093,28
-104.37612945287961,86.33712903601784,1.4671470398052031,28.29882286208962,103.21426780367379,87.78048795518477,2.5963709143187375,-28.29882286208973,-13.682624834972506,1.389763237799432,2.001915233266629,0.1844363834400239,-0.7005308773208818,-0.6988848037491556,-2.3340842397179746,29
-104.16806832828115,86.33369399792451,1.4730381217942146,28.29882286208962,103.06736638613468,88.18287088930057,1.0963709143187375,-28.298822862089736,-13.14877555660502,1.4355869987327323,2.006393929592715,0.14264236065222272,-0.6894562705630752,-0.7065981085344084,-2.300104002141538,30
-103.90002255697243,86.33220382611024,1.4771088743915022,28.298822862089953,102.83449643178359,87.62999964740776,2.5963709143187375,-28.29882286208969,-12.69767799927051,1.4819137100801973,2.0114727626422573,0.10203134559107878,-0.678354945451431,-0.7149270862299634,-2.2649412799945474,31
-103.57835243358956,86.33327810488458,1.4793948196245703,28.29882286208962,102.57124946601681,87.61518843367028,3.0767380509945235,-28.298822862089832,-12.315334936505288,1.5282636230871076,2.017098789364938,0.06338361045603678,-0.6671958991246876,-0.7238187391897962,-2.2278152029549854,32
-103.20164448287589,86.34705258091155,1.4777971624344908,28.29882286208972,102.24976083020361,87.59881067061228,3.1010504126620084,-28.298822862089576,-12.272417752772935,1.5064500374679175,2.0155132661631527,-0.04089437862933122,-0.6553869466737005,-0.7334055413609681,-2.1888029535247604,33
-102.67553179459544,85.99175895076671,-0.022202837565509226,28.29882286208972,101.76692872503324,87.57983604736867,3.129716969844631,-28.298822862089683,-12.334095193537342,1.4844077055867748,2.0147019957883243,-0.14336047779450894,-0.6435187870404495,-0.7437984101622295,-2.147980863726662,34
-102.02003563931632,86.01025987754076,-0.2527159211979525,28.29882286208972,101.15638699935016,87.55909567498792,3.1620083891656403,-28.298822862089725,-12.473555744211856,1.462966340547927,2.0145791659938475,-0.24323420349737102,-0.6315590904249475,-0.754911853582217,-2.1045678098305536,35
-101.26807111975062,86.03129654669252,-0.3046352517533844,28.298822862089697,100.4519837009142,87.53737862853178,3.1971511268905215,-28.29882286208986,-12.661985862605627,1.4429696379935666,2.0150586197815255,-0.3397358656737167,-0.6194756406916381,-0.7666602612134549,-2.0577834663332153,36
-100.31025967038788,85.54315782283959,-1.8046352517533844,28.29882286208972,99.5680979632324,87.51444588991669,3.215956872730219,-28.298822862089814,-11.94360103389223,1.440467665348759,1.9954335135270451,-0.40990396167715515,-0.6273494275935299,-0.7792286852762416,-2.0073514033211177,37
-99.14319965282336,85.59431851608302,-2.853447109155611,28.298822862089825,98.40530690695161,86.98377507636786,4.715956872730219,-28.298822862089793,-11.345295836960677,1.4380154882805616,1.9767430254697578,-0.47615790214993725,-0.6350863550476423,-0.7927180542426634,-1.952999590983789,38
-97.79034972842247,85.5563890923865,-3.410013342539904,28.29882286208985,97.10921425702776,87.16895534025664,4.852638779276455,-28.298822862089708,-10.813018550347778,1.438102919306979,1.958774640235089,-0.5377260970109331,-0.6426542542601094,-0.806916422658156,-1.8939557819583157,39
-96.26811096621884,85.11409289222763,-4.910013342539904,28.29882286208962,95.60612508278331,86.67377793743555,6.352638779276455,-28.29882286208969,-10.295994883911522,1.443298594830135,1.9413156585063298,-0.5938381064170716,-0.6500224693828717,-0.8216117815491533,-1.8294489406735368,40
-94.61109406271216,85.21625189100462,-5.836074916144212,28.298822862089875,93.92646375043192,86.71738377620669,7.207928205665955,-28.29882286208971,-9.91430807580354,1.4508842904676633,1.9260356305691082,-0.6459944832045585,-0.6085774060692336,-0.8369889725388556,-1.7581458791089837,41
-92.62023948420178,84.81053990717452,-7.336074916144212,28.29882286208985,91.88179433738983,86.26911546503757,8.707928205665954,-28.298822862089665,-9.621564082754153,1.4616244572423118,1.9114412318194187,-0.6905754488274894,-0.566874209319207,-0.8531457021221855,-1.6792860330838628,42
-90.48423829325849,84.94436782809633,-8.235876839926759,28.298822862089825,89.69098952179206,86.37045652878881,9.628736755079643,-28.29882286208982,-9.365593665979278,1.4780615517669533,1.8971894362647257,-0.7276704940476356,-0.5249088648808262,-0.8697393994514557,-1.5929587844068605,43
-88.11853336447575,84.56950583560291,-9.735876839926759,28.29882286208972,87.2503708410636,85.97438483050179,11.128736755079643,-28.29882286208972,-9.097611070151727,1.5027755106518084,1.8829375769068866,-0.7573695623496441,-0.4826789972975648,-0.886427807261992,-1.4992540314473572,44
-85.64970185421785,84.71876066846548,-10.732121972480812,28.298822862089825,84.78641470912028,86.14309978007343,11.992573617183366,-28.298822862089676,-10.128174239644249,1.474458991348467,1.893511582008275,-0.8432617386162112,-0.5201844148745868,-0.9033738665079836,-1.3955471452960573,45
-82.89970185421785,84.38222404642924,-12.232121972480812,28.29882286208972,82.03641470912028,85.83262619128277,13.492573617183366,-28.29882286208962,-11.184974294239973,1.4554288001224711,1.904554070795679,-0.9178399080658785,-0.5572638589109197,-0.9206750803752957,-1.2805145931044288,46
-80.14970185421785,84.59181806972936,-13.335718250271384,28.29882286208972,80.58822582551053,85.03318233324053,14.992573617183366,-31.04882286208962,-12.215877617346184,1.4455338477553827,1.9156248837096441,-0.9831428971246794,-0.5939680326016813,-0.9378921335442004,-1.156195823602496,47
-78.19216446117954,83.89900338242865,-14.835718250271384,31.04882286208972,78.91369347554819,84.88245917243368,16.40430729867947,-33.79882286208962,-13.168131328595887,1.4445152638697856,1.9262855314515752,-1.041205098217315,-0.6303527023935652,-0.9545869687079375,-1.0246260122865123,48
-76.31154666355683,83.81275065972304,-15.621375436011007,33.79882286208972,76.57343158939467,84.14136698814191,17.90430729867947,-36.54882286208962,-12.485331769470498,1.4806485952145012,1.9035640398737363,-1.055480774727372,-0.6259408376338818,-0.9709436752665183,-0.8825535706098777,49
-73.79923635310786,83.15661883963672,-17.121375436011007,36.54882286208972,74.00514148782867,84.1455984390078,18.68718254522195,-39.29882286208962,-11.752452985223028,1.5287169208787632,1.880626573441893,-1.0578101642153863,-0.6211400635677211,-0.9871041237350092,-0.7285317479565023,50
-71.04923635310786,82.5417052619154,-18.621375436011007,39.16089577898452,71.25514148782867,83.53939566225365,20.18718254522195,-41.92976483396089,-10.99213729547318,1.5847781919599002,1.8569775762118108,-1.0529184719254336,-0.6161146853741585,-1.0025698620376353,-0.5672886043662946,51
-68.29923635310786,81.98900371443365,-20.121375436011007,40.43743350641823,68.50514148782867,83.01478010017235,21.68718254522195,-42.85977423154994,-10.217844227918446,1.6448314448987296,1.8321242291552968,-1.0455147200977781,-0.6110267617186509,-1.016845164863175,-0.40353594580607194,52
-65.54923635310786,82.23011128081617,-21.621375436011007,41.13196023169135,65.75514148782867,82.59153852375493,23.18718254522195,-43.26296572254255,-10.32168707911332,1.6438464088483873,1.8222211871161038,-1.1037134056081312,-0.6453425181304353,-1.0302308945631184,-0.23396343784528525,53
-62.79923635310786,81.88877335876646,-23.121375436011007,41.28993088567515,63.005141487828666,83.01397580267881,24.68718254522195,-43.11652239155486,-10.3436651561128,1.6509454004925148,1.811818058550232,-1.1548298221458568,-0.6794015773108425,-1.0429906738157977,-0.05729090725527449,54
-60.04923635310786,81.67460383200871,-24.621375436011007,40.937346720924616,60.255141487828666,82.84790852230226,26.18718254522195,-42.470384896466705,-10.308719615110592,1.65894319314518,1.800372859190763,-1.206580133505426,-0.7134572227531153,-1.0545780807353529,0.11876123966405594,55
-57.29923635310786,82.2211293296201,-26.121375436011007,40.22845814625674,57.505141487828666,82.79215345063929,27.68718254522195,-41.50519090327251,-10.24236747930928,1.6606037490600318,1.7873486396713048,-1.2666479272209703,-0.7477623469367263,-1.0644507354592043,0.28650517730672,56
-54.54923635310786,82.17006142156492,-27.621375436011007,39.12364109484501,54.755141487828666,83.62576272516893,29.18718254522195,-39.868612460817204,-12.236889600878065,1.4962757997830556,1.7949443789381319,-1.501516290266718,-0.72327161122994,-1.0731794609898027,0.45063732889067765,57
-51.79923635310786,82.89684988511715,-29.121375436011007,37.461825397037316,52.005141487828666,84.01866950094573,30.68718254522195,-37.64176195622137,-14.67700692378078,1.333158141972442,1.8016590942623794,-1.7376867399464453,-0.6987732231964722,-1.0812193283769111,0.6134675152491216,58
-49.04923635310786,83.15393523183226,-30.621375436011007,35.3962048422642,49.255141487828666,84.60967100072641,32.18718254522195,-34.99361501566286,-17.42700692378078,1.164002401013165,1.8067959232107185,-1.986363269939883,-0.6746358192010844,-1.0878608611891973,0.763785581945798,59
-46.29923635310786,83.50906889595448,-32.12137543601101,33.23226314436485,46.505141487828666,85.79126079600202,33.68718254522195,-32.2588354298528,-20.17700692378078,0.9827035491653252,1.8096693589268433,-2.2587086606495443,-0.6512369631497041,-1.092398878734658,0.890422287229495,60
-43.54923635310786,84.48070005213644,-33.62137543601101,30.672961936674835,43.755141487828666,86.72278914641562,35.18718254522195,-29.5088354298528,-22.92700692378078,0.6695985008802623,1.8041619423168207,-2.687574768467771,-0.6001830846825087,-1.0955553635643729,1.0060581509765378,61
-40.79923635310786,85.39704574023695,-35.12137543601101,28.298822862089697,41.005141487828666,87.36677847450754,36.68718254522195,-28.298822862089686,-25.67700692378078,0.4316822777914862,1.797690551666991,-3.1211537723428346,-0.5492021609265211,-1.0982559542424823,1.1169705495674227,62
-38.04923635310786,85.26541585378746,-36.62137543601101,28.298822862089825,38.255141487828666,87.82046008597305,38.18718254522195,-28.298822862089693,-28.42700692378078,0.45206643179093187,1.7899039604945555,-3.5801442504244365,-0.498945308127702,-1.1001063636244646,1.2024500313640303,63
-35.29923635310786,85.54670950280719,-38.104872782513446,28.298822862089594,35.505141487828666,87.85752278164964,39.68718254522195,-28.29882286208962,-31.17700692378078,0.7319366521755125,1.780474402047135,-4.0852081135420955,-0.450052453875172,-1.1007148787186665,1.241824191460509,64
-32.54923635310786,85.85833342497494,-38.12810999958111,28.29882286208962,32.755141487828666,88.26268492925053,41.18718254522195,-28.298822862089594,-33.92700692378078,0.4952725101722952,1.7633255398417427,-3.898625477966628,-0.4278110742537279,-1.0999371655382997,1.2502369546855285,65
-29.799236353107858,86.16020209631206,-38.15044631804794,28.29882286208985,30.005141487828666,88.42948123638473,42.68718254522195,-28.298822862089626,-36.67700692378078,0.3870684283885391,1.7452462951030432,-3.714202566565854,-0.40571873641208683,-1.0981492767867318,1.256481925313866,66
-27.049236353107858,86.45472940575597,-38.172725712178895,28.29882286208972,27.255141487828666,88.83579346360416,43.27744116668324,-28.29882286208961,-39.42700692378078,0.4628915548711255,1.7266237150783903,-3.532130077858665,-0.38377035678351434,-1.0957398886385825,1.2603686938107088,67
-24.299236353107858,86.40762098359933,-39.672725712178895,28.29882286208985,24.505141487828666,89.2251735520251,43.138215413518566,-28.298822862089693,-37.49362580872072,0.6047292997171382,1.7078445323246312,-3.3525988612198216,-0.3619603623406613,-1.0930973231040964,1.2617067030513065,68
-21.549236353107858,86.76232540181105,-40.08773948295623,28.29882286208972,21.755141487828666,89.55489889483212,42.9712536887082,-28.2988228620897,-34.74362580872072,0.8117159246868743,1.7063940449392248,-3.1529640691058938,-0.39041382102619293,-1.0897081345860848,1.2365550777472973,69
-18.799236353107858,87.52544373509545,-38.58773948295623,28.298822862089697,19.005141487828666,89.86583209619386,42.80077768228996,-28.298822862089526,-31.993625808720722,1.0561000419316025,1.7037120203444307,-2.990648381667055,-0.4199888428998949,-1.0851433729866355,1.1740662600085086,70
-16.049236353107858,87.87472387991454,-37.550347123103776,28.29882286208985,16.255141487828666,90.15428542209055,42.63157172419639,-28.298822862089704,-29.243625808720722,1.317444392368278,1.7002742710583454,-2.84621103523961,-0.4500888640590655,-1.0799182873762208,1.0936902016002426,71
-13.299236353107858,88.2226236876093,-37.46481746980324,28.298822862089594,13.505141487828666,90.41680369345832,42.468774289915096,-28.298822862089924,-26.493625808720722,1.5775357864903117,1.696566206473871,-2.700194903674477,-0.4801221467083465,-1.0745503638387888,1.0148930756416699,72
-10.549236353107858,88.52899619954066,-37.36219290294475,28.298822862089697,10.755141487828666,91.08354798038066,40.968774289915096,-28.298822862089725,-23.743625808720722,1.486361721639178,1.6800073474692379,-2.8975518739321506,-0.47697372196307675,-1.0689311480236374,0.9351010906875626,73
