theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,
-108.38260700551,84.3318638560054,-4.15402041186566,51.9914434628026,106.806661692738,84.8074167851137,4.35722297970049,-51.9914434628027,0,0,0,0,0,
-113.396610517288,84.7460656115361,-3.65133263277996,51.9914434628027,111.706370370457,84.7655549789499,5.06746766206028,-51.9914434628026,0,0,0,0,0,
-114.409236261919,86.0877908170975,-1.5409631550999,51.9914434628026,112.913566319821,86.3020559434281,3.02779246184197,-51.9914434628026,0,0,0,0,0,
-114.622596250471,85.7909935661194,-1.39291578053653,51.9914434628026,113.135480408796,86.0655704474787,2.91748940360502,-51.9914434628026,0,0,0,0,0,
-115.430508655964,86.8241462723193,0.840902136079221,51.9914434628026,113.927095091446,86.1912486949964,2.9357670554603,-51.9914434628027,0,0,0,0,0,
-115.248125330326,86.7932355809652,0.844009378287997,51.9914434628026,113.707139645109,86.2228061771974,2.9594866097774,-51.9914434628026,0,0,0,0,0,
-115.017836417013,86.7778395026393,0.836631346747033,51.9914434628026,113.48950540372,86.2063749150438,2.96194419538293,-51.9914434628027,0,0,0,0,0,
-114.27616633933,86.7083612343656,0.821172905742793,51.9914434628026,112.904140288065,86.1602522839045,2.9683177344155,-51.9914434628026,0,0,0,0,0,
-113.080990449765,86.6365443442335,0.775812759085665,51.9914434628027,111.943845032431,86.0512877932916,2.96727948631801,-51.9914434628026,0,0,0,0,0,
-111.604486150928,86.6716324636909,0.667847652177007,51.9914434628027,110.572476796451,85.9540315979799,2.99398223041594,-51.9914434628027,0,0,0,0,0,
-108.557621000723,85.7574813381744,-2.13195027808098,51.9914434628027,108.019172230133,85.2532484198507,4.54742179586468,-51.9914434628027,0,0,0,0,0,s
-99.7295643282428,84.4848402397294,-6.85267686242122,51.9914434628026,99.0675340501978,83.8753291467867,9.22795178716092,-51.9914434628027,0,0,0,0,0,
-84.0926573481452,83.1385219703415,-14.184664416649,51.9914434628026,83.5940549574111,82.2173259423421,16.4297443310321,-53.0861763383169,0,0,0,0,0,
-69.2215234668984,79.8267294476568,-20.7365230661074,51.9914434628026,67.4098204023973,79.0563321241493,23.0681573628412,-51.9914434628026,0,0,0,0,0,
-56.455322170448,81.5471611875079,-26.6517249429713,51.9914434628026,54.2481491292887,80.9025236103146,29.0149155230475,-51.9914434628026,0,0,0,0,0,
-39.1488910157756,79.7532593577733,-33.7972313722763,51.9914434628026,37.5842616118869,79.5706058790215,36.3235657925133,-51.9914434628026,0,0,0,0,0,
-29.9259897403111,78.9267030716114,-41.2669361369096,51.9914434628026,28.5586470708319,79.6800969915652,44.0568459130056,-51.9914434628027,0,0,0,0,0,
-21.1589914821615,80.710978575147,-38.9689556401453,51.9914434628027,19.9471887109131,81.6352914419381,43.1862031827538,-51.9914434628026,0,0,0,0,0,
-15.3721473544522,83.4361035998014,-33.9935269225485,51.9914434628027,14.3455121933418,84.062004491395,37.8745067664746,-51.9914434628026,0,0,0,0,0,
-14.2946895517297,85.8734261359939,-29.4138882873948,51.9914434628027,13.5970731400196,85.9995620964002,33.1437948024841,-51.9914434628026,0,0,0,0,0,
-12.5604968981436,88.1033975671495,-27.1877225588145,51.9914434628026,11.8454307957715,87.6766933596511,30.7207063517746,-51.9914434628027,0,0,0,0,0,
-10.3164486565915,90.2017036477969,-24.7956134454535,51.9914434628027,9.86394807004928,89.0226265062845,29.4390151719766,-51.9914434628026,0,0,0,0,0,
-8.51778582375037,91.4127701090539,-22.7127042901344,51.9914434628026,7.92381071289527,90.0839588507786,27.2979934139009,-51.9914434628027,0,0,0,0,0,
-6.6999974553169,91.5423666516349,-22.7638625590115,51.9914434628026,6.23671791363506,90.0842235074008,27.2980936105194,-51.9914434628026,0,0,0,0,0,
-5.69545811956198,91.442365033548,-22.7243863318808,51.9914434628027,5.22739882236236,89.9122434909835,27.232983619914,-51.9914434628027,0,0,0,0,0,
-5.49896347870591,91.527476287954,-22.7579842532138,51.9914434628027,4.99275101890785,89.9048921944065,27.2302004839289,-51.9914434628026,0,0,0,0,0,
-5.90588440049059,91.4951423675549,-22.7452200125054,51.9914434628026,5.74472772552637,90.6982776019036,24.9877480761999,-51.9914434628027,0,0,0,0,0,
-8.25458917639035,92.0697558306166,-20.4113403914263,51.9914434628026,7.8455720727948,90.309649428561,24.8373777354493,-51.9914434628027,0,0,0,0,0,
-12.3552673081607,91.5630606992263,-20.2077889064189,51.9914434628027,11.7116786354909,89.749472172643,24.6206475953264,-51.9914434628027,0,0,0,0,0,
-16.2349994634351,91.9784601248724,-18.7488843691558,51.9914434628026,15.3348920590157,89.5703429206357,24.2314065260548,-51.9914434628026,0,0,0,0,0,
-18.1008859217598,91.6029760091795,-18.9400633955316,51.9914434628027,17.1746025657555,89.1946190390491,24.4169787955377,-51.9914434628026,0,0,0,0,0,
-23.8882663135103,86.8860441898079,-25.8387648761856,51.9914434628026,23.2334512412765,85.1812408466481,29.0226856312662,-51.9914434628026,0,0,0,0,0,
-29.5780694571108,86.6776677191764,-26.0068921539263,51.9914434628026,28.5787215927351,84.4271202435456,30.3064026603006,-51.9914434628026,0,0,0,0,0,
-38.0046810227458,85.3129058973366,-25.4874651148998,51.9914434628026,37.2608013617615,83.7514669735218,27.481036868555,-51.9914434628027,0,0,0,0,0,
-50.94497599667,83.5846996384356,-22.2243343752244,51.9914434628027,50.5726706908211,82.0035717518403,24.2175900496858,-51.9914434628027,0,0,0,0,0,
