theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13
-155,21.4508693292155,105,51.9914434628026,155,21.2043509398388,-105,-51.9914434628026,0,0,0,0,0
-155,24.2161577021034,105,51.9914434628026,155,23.5293870210522,-105,-51.9914434628026,0,0,0,0,0
-155,23.3799230567913,101.846947935513,51.9914434628026,155,23.4872899436535,-105,-51.9914434628026,0,0,0,0,0
-155,24.0053772653765,100.093705427663,51.9914434628026,155,24.2936483445296,-105,-51.9914434628026,0,0,0,0,0
-155,24.0059337986234,100.53025677065,51.9914434628026,155,24.4453034759701,-105,-51.9914434628026,0,0,0,0,0
-155,24.1481702730837,100.867462865695,51.9914434628026,155,24.5780385126347,-105,-51.9914434628026,0,0,0,0,0
-155,24.0712770342546,101.07134021014,51.9914434628026,155,24.5687864047243,-105,-51.9914434628026,0,0,0,0,0
-155,24.2093743282264,101.23778563543,51.9914434628026,155,24.6491406441064,-105,-51.9914434628026,0,0,0,0,0
-155,24.027616784758,101.396344465762,51.9914434628026,155,24.5799999635889,-105,-51.9914434628026,0,0,0,0,0
-155,24.0268161312378,101.379078416437,51.9914434628026,155,24.4711467769804,-105,-51.9914434628026,0,0,0,0,0
-155,24.010297125493,101.386784499922,51.9914434628026,155,24.4111314694961,-105,-51.9914434628026,0,0,0,0,0
-155,24.0472866465757,101.329026212944,51.9914434628026,155,24.4084022731763,-105,-51.9914434628027,0,0,0,0,0
-155,24.0557413695298,101.356324642465,51.9914434628026,155,24.1792136150811,-105,-51.9914434628026,0,0,0,0,0
-155,23.9838771808439,101.174986808611,51.9914434628027,155,24.1319440745406,-105,-51.9914434628026,0,0,0,0,0
-155,23.8824004451765,100.835147465733,51.9914434628026,155,24.0554382006179,-105,-51.9914434628026,0,0,0,0,0
-155,23.810040580257,100.332976534746,51.9914434628026,155,23.9829482173272,-105,-51.9914434628026,0,0,0,0,0
-155,23.8229020947422,100.065213722277,51.9914434628026,155,23.9884236744527,-104.982913817453,-51.9914434628026,0,0,0,0,0
-155,23.8067682917482,99.7304358344622,51.9914434628026,155,24.0229547396662,-104.691139705151,-51.9914434628027,0,0,0,0,0
-155,23.8292587777066,99.5199152908731,51.9914434628027,155,24.0128712444923,-104.492939003079,-51.9914434628026,0,0,0,0,0
-152.86654873711,23.6495286503951,99.3256629991945,51.9914434628026,155,24.0221841158397,-104.167943182203,-51.9914434628026,0,0,0,0,0
-152.762960147787,23.6500608681743,99.2114719308849,51.9914434628026,155,23.9979833248358,-104.033095538507,-51.9914434628026,0,0,0,0,0
-152.613183746802,23.6223758057481,99.0450441119709,51.9914434628026,155,23.9620065072899,-103.834412513493,-51.9914434628027,0,0,0,0,0
-152.53751186356,23.6132521759886,98.9612176518668,51.9914434628026,155,23.9019116411674,-103.606527617257,-51.9914434628027,0,0,0,0,0
-152.432276913801,23.5522919839752,98.8424333548172,51.9914434628026,155,23.8620043512864,-103.572966713492,-51.9914434628026,0,0,0,0,0
-152.445047404208,23.5592194562961,98.8568220749474,51.9914434628025,155,23.8082739549612,-103.499145695283,-51.9914434628026,0,0,0,0,0
-152.383478451728,23.4739790082894,98.7850494810766,51.9914434628026,155,23.6805677965916,-103.245278368356,-51.9914434628026,0,0,0,0,0
