theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,frame
-101.846342458545,79.5438102259919,-13.7983777290976,65.4200996822785,103.673768790949,80.0688256316048,15.792045932819,-68.3577355787022,0,0,0,0,0
-104.458247993432,79.4498295101565,-13.6362117342842,64.3808924959349,104.909623210983,80.4009908053086,15.8822804470641,-65.2389604733088,0,0,0,0,0
-105.172993052734,79.7557804324675,-13.5367934518612,64.482923489424,105.240112097518,80.7105864399967,15.8773106767934,-64.6146216655434,0,0,0,0,0
-104.486650522108,79.5024168611131,-13.6307411397791,64.3850738435619,104.651149735303,80.3210163474296,15.9671710535127,-64.5402333873009,0,0,0,0,0
-104.2083584811,79.4502949906838,-13.6677008066341,64.3444588558462,104.482715814965,80.079888335258,15.9980246154136,-64.5204136454296,0,0,0,0,0
-104.325525586288,79.357179022196,-13.6562244115288,64.36143368047,104.532425626498,79.8163174574809,16.0006425900087,-64.5311769145569,0,0,0,0,0
-104.120202038499,79.3466279240091,-13.6826662002704,64.3313303744656,104.394835559599,79.7121295278937,16.0229369641926,-64.513146451221,0,0,0,0,0
-103.898244762706,77.9966101641027,-16.1544509008424,64.454424837212,104.043680055565,78.3714053149595,18.5044179212567,-64.6340058595165,0,0,0,0,0
-103.947006622946,77.970708509592,-16.1482812479982,64.4614388834339,103.951038225085,78.360906988894,18.5191034955921,-64.621366059186,0,0,0,0,0
-104.178062639165,77.9297087579893,-16.1160189858248,64.4943296956191,103.977365453679,78.4858846851668,18.5105879678055,-64.6229661556371,0,0,0,0,0
-104.07172118525,78.04704229839,-16.1274440402827,64.4791381798957,103.707322358783,78.621380727185,18.5470166497709,-64.5829246073592,0,0,0,0,0
-103.89169331889,78.1291407714504,-16.1506351367167,64.4532625753288,103.334020679889,78.8181779654959,18.5965455531169,-64.5262227398783,0,0,0,0,0
-103.479414506979,78.097366224904,-16.2117999745795,64.3935431610128,102.294593836529,77.7211690528249,21.200421238626,-64.5688887447009,0,0,0,0,0
-102.989890448841,78.0872116268578,-16.2837454157967,64.3210262797447,101.702497527764,77.8305822872829,21.2727810198494,-64.7213172666165,0,0,0,0,0
-102.525151708624,78.1356196075129,-16.3498548400771,64.2504422067173,101.321555577085,78.0025622922221,21.3029718379368,-64.9379123330365,0,0,0,0,0
-101.10382734191,76.8862204195469,-19.0396590202163,64.2187094609387,99.9837502711408,76.7625434969573,23.9236652491312,-65.709954379648,0,0,0,0,0
-100.032645594347,77.0044419607421,-19.2124767685592,64.0455736524554,99.0773558067342,76.9280389483147,24.0640390608932,-65.7575737069078,0,0,0,0,0
-99.0379307176812,77.1362991216904,-19.3719000515082,63.8771924419234,98.0296577379274,77.1226176529298,24.2535758215924,-65.5504202362619,0,0,0,0,0
-97.4038058341294,75.9954004145342,-22.1751683150748,63.8260352913022,96.2370475983072,76.0551066117923,27.0762260848826,-65.676712347835,0,0,0,0,0
-95.7779569334172,76.1491684919917,-22.471671822007,63.5295168663101,94.6165993759832,76.4568790605867,27.4360556236686,-64.9879940269846,0,0,0,0,0
-94.2882043541801,76.2649446811779,-22.7470105522288,63.2425712088704,92.8126065577041,77.1080307207902,27.8302818823597,-64.1327132876294,0,0,0,0,0
-93.2818082829804,76.6828201490394,-22.9042738564833,63.0310381060673,91.2825145687656,77.9452323014244,28.1743660485619,-63.0627400735838,0,0,0,0,0
-91.927904722958,77.415167655049,-23.0953578157408,62.7268030209417,89.4939394423613,79.0376389739868,28.4450779491692,-62.6134637277036,0,0,0,0,0
-90.3850537270454,78.3490057787898,-23.294129466494,62.3541999648107,87.5943088717252,80.5289446718484,28.6820344659941,-62.0724743751912,0,0,0,0,0
-88.7004180828245,79.6920446017037,-23.4625480030269,61.9023446676597,84.8909376164252,81.1910969521582,31.7410769902834,-61.6390451901739,0,0,0,0,0
-86.2043009969829,81.5416281418265,-23.6977259467301,61.1783163025384,81.5229737463385,81.9727443414076,35.0010625290651,-61.0171633269251,0,0,0,0,0
-84.7645028192638,82.8980853381297,-23.7796524794561,60.7055956813686,80.0776184302204,83.7701516262428,35.1049206670159,-60.4109437923442,0,0,0,0,0
-83.4710332822852,84.0868926848564,-23.8450836578888,60.25912169086,78.6790947047319,85.2244759300923,35.2328350516201,-59.8319080129043,0,0,0,0,0
-82.5544652412777,84.9640399894835,-23.8798865597777,59.9259921358708,77.7329956855069,86.2008027575988,35.314900502028,-59.4255004093087,0,0,0,0,0
-82.1300722583317,85.4311235835717,-23.8851071535138,59.7618962069271,77.2147707086782,86.6319498196474,35.3737335109916,-59.2143858393117,0,0,0,0,0
-81.9083176991218,85.6903113763941,-23.8850254051486,59.6735206163111,76.8988612408119,86.8039905816851,35.423072533416,-59.0990612141238,0,0,0,0,0
-81.6824333357402,85.8209393521391,-23.9044401390055,59.5961472941825,76.5621210404499,86.8267733792712,35.5002942345488,-59.0016024190349,0,0,0,0,0
-81.4699241196319,85.9582610812893,-23.9204393208246,59.5214633442074,76.363879338561,86.931579936452,35.5317620762804,-58.9289430147983,0,0,0,0,0
-81.4775509446197,85.9516476866304,-23.9200964211274,59.5243207422932,76.3824841074231,86.7514303650684,35.5551470047194,-58.9636847862086,0,0,0,0,0
-81.4526943346515,86.0276507372712,-23.91295932837,59.5094424284993,76.4746459653356,86.6383968953011,35.5504021511684,-59.0078923349811,0,0,0,0,0
-81.4610334891119,86.0412935614262,-23.9094625886494,59.5104381393356,76.4941383649265,86.530499976304,35.5623262441661,-59.0308417226158,0,0,0,0,0
-80.70262357186,84.8099189276684,-26.9058363815751,59.6466477051601,76.3188206634738,86.350807323569,35.6325153203402,-59.0108291062782,0,0,0,0,0
-80.7194533219195,84.81489945416,-26.9018591271198,59.6508583185828,76.3612014429491,86.1872894896145,35.6474709525878,-59.0489225644294,0,0,0,0,0
-80.6854322666254,84.8009627021476,-26.9105196089656,59.6427700824,76.3916168648083,86.1337941026753,35.6483622144895,-59.0659733044009,0,0,0,0,0
-80.5089126927282,84.8201724125353,-26.9419187166342,59.5907370624643,75.4251457819171,84.7933231907753,38.7517912327166,-59.3387846470906,0,0,0,0,0
-80.5736981734679,84.8313542660633,-26.9276595111796,59.6078670615752,76.2811439501416,85.9181173595618,35.7086683297355,-59.0693889916998,0,0,0,0,0
-80.7424125329468,84.7548612172061,-26.9063875758791,59.6638642836638,76.5733453898582,85.7501514962336,35.6632652992643,-59.1773759772656,0,0,0,0,0
-81.0018214767226,84.67437361673,-26.8680970991443,59.7455206375055,76.9055748037346,85.6133237010186,35.6032916038354,-59.2908588596165,0,0,0,0,0
-81.0508707111556,84.654459582597,-26.8615213275125,59.7614092193437,76.948158189995,85.4799860525546,35.613146041766,-59.3233287746141,0,0,0,0,0
-81.144738530908,84.6126235809374,-26.8495307034505,59.7921684890881,77.2282893047474,85.2371555760227,35.5817118818802,-59.437784068755,0,0,0,0,0
-81.3446185420915,84.5803860278372,-26.8156368535257,59.8513715226774,77.475638356804,85.0745826908828,35.5459667842813,-59.5302168228398,0,0,0,0,0
-81.8357514327742,84.364437679233,-26.7522107642229,60.0101618686437,78.0952851254618,84.7705947165773,35.440585347896,-59.7438692208555,0,0,0,0,0
-82.1698864672367,84.0991593753441,-26.7257907303178,60.1293117630499,78.4771074792949,84.4715822988375,35.3917396371622,-59.8904781217079,0,0,0,0,0
-82.5177823465442,83.8487764985815,-26.6941194259009,60.2493964768799,78.8245774474893,84.075518142127,35.3649267738447,-60.0404520881735,0,0,0,0,0
-82.9670035964668,83.3693169870233,-26.6742632654841,60.417828538862,79.386239987271,83.5235990255959,35.3075090438874,-60.2664367775221,0,0,0,0,0
-83.6760356860576,82.7812095552087,-26.6169352473626,60.6617208886556,80.2431063680995,82.9036242422473,35.1859929756303,-60.5729856644531,0,0,0,0,0
-84.0480968436011,82.1898392233059,-26.6237290623617,60.8125999641753,80.8435710734219,82.1742266134809,35.1399070719376,-60.8218037809629,0,0,0,0,0
-85.0084811479223,81.4774008147899,-26.5276441369043,61.1200219070281,81.9732214062733,81.4290941914408,34.9634360179228,-61.1961657462201,0,0,0,0,0
-86.1711274345776,80.4366847005097,-26.4275122906083,61.4916687348128,83.1957294674688,80.4222847007677,34.7940301751907,-61.6102540689091,0,0,0,0,0
-86.6595106101454,78.2742406761145,-29.1448210313859,62.0369962469769,83.5359658526269,78.1943156742431,37.5217376044334,-62.2591898488709,0,0,0,0,0
-88.1426978392824,77.2790793868076,-28.9275377065162,62.4403268298206,84.9449353074949,77.1834789768984,37.267792227461,-62.6736841756403,0,0,0,0,0
-89.3641552025664,76.4131526201754,-28.7463030631003,62.7571993820235,86.1499555880796,76.1696674409194,37.0613851089749,-63.0250343926414,0,0,0,0,0
-90.7317856435329,75.6836756319199,-28.5118443685406,63.0800523799752,87.4874381075392,75.2574674974015,36.8023809071328,-63.3749768488855,0,0,0,0,0
-91.7961488782298,75.0762160272154,-28.3288236097504,63.3207396612657,88.5413494390734,74.3962863547738,36.6076699353321,-63.6483728373115,0,0,0,0,0
-92.8261478524791,74.7091462037918,-28.1290903065059,63.5342199547046,89.461169991384,73.7270497755607,36.4134303772366,-63.9377828575896,0,0,0,0,0
-93.9359784652152,74.4186314297537,-27.9037187465387,63.7508770364738,91.1086440714012,72.9306025419015,35.8340749662778,-65.4801454721382,0,0,0,0,0
-95.2166620290342,74.2401406035557,-27.6312421654533,63.9843303645808,93.7227320687257,73.4072163450535,32.5756339418284,-66.4297881095756,0,0,0,0,0
-95.8369097642307,72.8486328083053,-29.9652636969083,64.6925677167732,95.4904199076521,72.7340582621224,32.0426600524704,-67.6819615775008,0,0,0,0,0
-97.8050792319103,72.4832968817876,-29.3021986249297,66.3539206329887,97.1286516936403,72.1165662310503,31.5853412020364,-68.5660613601276,0,0,0,0,0
-99.4194999322309,72.1838618164779,-28.6971126070972,68.2236888417373,99.3712825221184,72.8831341987283,28.554598754085,-69.3422813206846,0,0,0,0,0
-101.602840688245,73.2614397412553,-25.7724905743183,68.6223824028608,100.88562921456,72.4927137079119,28.2378043370604,-69.5262372123828,0,0,0,0,0
-103.094859877441,72.9979152223445,-25.4451375448793,69.0382958657008,102.745186045101,73.3747272979789,25.5200868575006,-69.0241006532727,0,0,0,0,0
-104.6409121568,74.0624515396135,-22.8157420909252,68.6169638677412,104.207432092046,74.3777697576335,22.9464204218923,-68.2119024456504,0,0,0,0,0
-105.758972226715,75.3037772199351,-20.3859890011142,67.3957914464696,105.796309576356,76.9598801139437,18.0748379972796,-66.6178220182433,0,0,0,0,0
-106.888212335305,76.3493855779782,-17.9457339157929,66.3688561683983,107.047223680741,78.0114516018293,15.6102418344352,-65.7034245945949,0,0,0,0,0
