theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,frame
-101.466712557083,82.5891813760275,172.602267422686,-58.6144052486894,100.800046910562,83.1686340476861,-172.959665568546,61.2316187696865,0,0,0,0,0
-107.86821408183,83.242839994688,173.825039910054,-59.2189674062939,105.73918209797,83.3978247119725,-172.388673537078,59.0905290678817,0,0,0,0,0
-109.171017009865,84.8373926373598,176.524128665,-59.2799748419993,107.298079192826,85.2885780339307,-175.205257748055,59.1833331936222,0,0,0,0,0
-109.431655616388,84.417172530759,176.511976681521,-59.2859699683804,107.572020026532,84.9543827466966,-175.18954411302,59.1992310963711,0,0,0,0,0
-110.46652449114,85.5564428941509,179.092921058166,-59.3243023351343,108.572247370068,85.1464361466502,-175.298307887732,59.2721610348872,0,0,0,0,0
-110.238125761344,85.5111837463148,179.072235485659,-59.3108556259056,108.296347200981,85.1879568495925,-175.278777659861,59.2541786803183,0,0,0,0,0
-109.949830103842,85.4876799416735,179.048149524351,-59.2942301558038,108.021920753254,85.1610563026742,-175.252358465652,59.2347365412066,0,0,0,0,0
-109.019139407178,85.3835767425712,178.966393834091,-59.2353092465786,107.282541947448,85.0859065275233,-175.179474051918,59.1794235808939,0,0,0,0,0
-107.514008905649,85.2730282103033,178.834613918771,-59.1273213970204,106.064903898981,84.9150318382189,-175.0486063118,59.0785020199747,0,0,0,0,0
-105.646947748719,85.3136384388766,178.690701158595,-58.9738793545795,104.319592221957,84.7544405665844,-174.862798290924,58.9153469389247,0,0,0,0,0
-101.734567911724,84.3349350742336,175.380469112761,-58.6066965896483,101.036743489447,83.9098294146937,-172.772382630717,58.5839443048997,0,0,0,0,0
-90.2038743752029,82.8884573996803,168.989838295216,-56.9199970475967,90.1895165188124,82.1539019799145,-166.460995721378,58.7627929006885,0,0,0,0,0
-75.2061517147713,80.1405393918754,160.547141828117,-65.7931823165405,74.6490255421398,78.7956919602891,-157.885754519837,67.6071354752852,0,0,0,0,0
