frame,timestamp_sec,pelvis_x,pelvis_y,pelvis_z,abdomen_x,abdomen_y,abdomen_z,chest_x,chest_y,chest_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_upper_arm_x,r_upper_arm_y,r_upper_arm_z,r_forearm_x,r_forearm_y,r_forearm_z,r_wrist_x,r_wrist_y,r_wrist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_upper_arm_x,l_upper_arm_y,l_upper_arm_z,l_forearm_x,l_forearm_y,l_forearm_z,l_wrist_x,l_wrist_y,l_wrist_z,r_thigh_x,r_thigh_y,r_thigh_z,r_shin_x,r_shin_y,r_shin_z,r_foot_x,r_foot_y,r_foot_z,l_thigh_x,l_thigh_y,l_thigh_z,l_shin_x,l_shin_y,l_shin_z,l_foot_x,l_foot_y,l_foot_z
0,1778932839.326472,0.0,0.0,0.0,0.0,-0.017,0.061,0.0024077745479056476,-0.04087549098045217,0.19030954885449264,0.001596488692587516,-0.05999157787245969,0.2722541462187984,0.0013393469328728562,-0.063371230917523,0.29196484948911317,-0.07500230990645321,-0.05717881890542405,0.2372381150305422,-0.10890551770341651,-0.03999844214136805,0.20086153744745355,-0.11828562807825031,-0.0482853371905541,0.0893653339255411,-0.10435017666783145,-0.09759769474497272,-0.01914316613972125,0.07896208546046493,-0.04934489884518352,0.24058992883639058,0.11462468951295401,-0.0245812335345669,0.20866384848349687,0.13817642486837795,-0.018780678581126132,0.09912056103976445,0.135118924667706,-0.10182871371242402,0.012554542572044594,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
0,1778932839.3180833,0.0,0.0,0.0,nan,nan,nan,0.0024077745479056476,-0.04087549098045217,0.19030954885449264,0.001596488692587516,-0.05999157787245969,0.2722541462187984,0.0013393469328728562,-0.063371230917523,0.29196484948911317,-0.07500230990645321,-0.05717881890542405,0.2372381150305422,-0.10890551770341651,-0.03999844214136805,0.20086153744745355,-0.11828562807825031,-0.0482853371905541,0.0893653339255411,-0.10435017666783145,-0.09759769474497272,-0.01914316613972125,0.07896208546046493,-0.04934489884518352,0.24058992883639058,0.11462468951295401,-0.0245812335345669,0.20866384848349687,0.13817642486837795,-0.018780678581126132,0.09912056103976445,0.135118924667706,-0.10182871371242402,0.012554542572044594,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
2,1778932839.3348615,0.0,0.0,0.0,0.0,-0.017,0.061,0.0024077745479056476,-0.04087549098045217,0.19030954885449264,0.001596488692587516,-0.05999157787245969,0.2722541462187984,0.0013393469328728562,-0.063371230917523,0.29196484948911317,-0.07500230990645321,-0.05717881890542405,0.2372381150305422,-0.10890551770341651,-0.03999844214136805,0.20086153744745355,-0.11828562807825031,-0.0482853371905541,0.0893653339255411,-0.10435017666783145,-0.09759769474497272,-0.01914316613972125,0.07896208546046493,-0.04934489884518352,0.24058992883639058,0.11462468951295401,-0.0245812335345669,0.20866384848349687,0.13817642486837795,-0.018780678581126132,0.09912056103976445,0.135118924667706,-0.10182871371242402,0.012554542572044594,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
3,1778932839.3432531,0.0,0.0,0.0,0.0,-0.017,0.061,0.0024077745479056476,-0.04087549098045217,0.19030954885449264,0.001596488692587516,-0.05999157787245969,0.2722541462187984,0.0013393469328728562,-0.063371230917523,0.29196484948911317,-0.07500230990645321,-0.05717881890542405,0.2372381150305422,-0.10890551770341651,-0.03999844214136805,0.20086153744745355,-0.11828562807825031,-0.0482853371905541,0.0893653339255411,-0.10435017666783145,-0.09759769474497272,-0.01914316613972125,0.07896208546046493,-0.04934489884518352,0.24058992883639058,0.11462468951295401,-0.0245812335345669,0.20866384848349687,0.13817642486837795,-0.018780678581126132,0.09912056103976445,0.135118924667706,-0.10182871371242402,0.012554542572044594,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
4,1778932839.351649,0.0,0.0,0.0,0.0,-0.017,0.061,0.0024077745479056476,-0.04087549098045217,0.19030954885449264,0.001596488692587516,-0.05999157787245969,0.2722541462187984,0.0013393469328728562,-0.063371230917523,0.29196484948911317,-0.07500230990645321,-0.05717881890542405,0.2372381150305422,-0.10890551770341651,-0.03999844214136805,0.20086153744745355,-0.11828562807825031,-0.0482853371905541,0.0893653339255411,-0.10435017666783145,-0.09759769474497272,-0.01914316613972125,0.07896208546046493,-0.04934489884518352,0.24058992883639058,0.11462468951295401,-0.0245812335345669,0.20866384848349687,0.13817642486837795,-0.018780678581126132,0.09912056103976445,0.135118924667706,-0.10182871371242402,0.012554542572044594,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
5,1778932839.3600457,0.0,0.0,0.0,0.0,-0.017,0.061,0.0024077745479056476,-0.04087549098045217,0.19030954885449264,0.001596488692587516,-0.05999157787245969,0.2722541462187984,0.0013393469328728562,-0.063371230917523,0.29196484948911317,-0.07500230990645321,-0.05717881890542405,0.2372381150305422,-0.10890551770341651,-0.03999844214136805,0.20086153744745355,-0.11828562807825031,-0.0482853371905541,0.0893653339255411,-0.10435017666783145,-0.09759769474497272,-0.01914316613972125,0.07896208546046493,-0.04934489884518352,0.24058992883639058,0.11462468951295401,-0.0245812335345669,0.20866384848349687,0.13817642486837795,-0.018780678581126132,0.09912056103976445,0.135118924667706,-0.10182871371242402,0.012554542572044594,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
6,1778932839.3684385,0.0,0.0,0.0,0.0,-0.017,0.061,0.0024077745479056476,-0.04087549098045217,0.19030954885449264,0.001596488692587516,-0.05999157787245969,0.2722541462187984,0.0013393469328728562,-0.063371230917523,0.29196484948911317,-0.07500230990645321,-0.05717881890542405,0.2372381150305422,-0.10890551770341651,-0.03999844214136805,0.20086153744745355,-0.11828562807825031,-0.0482853371905541,0.0893653339255411,-0.10435017666783145,-0.09759769474497272,-0.01914316613972125,0.07896208546046493,-0.04934489884518352,0.24058992883639058,0.11462468951295401,-0.0245812335345669,0.20866384848349687,0.13817642486837795,-0.018780678581126132,0.09912056103976445,0.135118924667706,-0.10182871371242402,0.012554542572044594,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
7,1778932839.3768356,0.0,0.0,0.0,0.0,-0.017,0.061,-0.00712790165662585,-0.03258991158236807,0.19139533560527017,-0.012432743052695644,-0.04018547214214277,0.2750324452967543,-0.013740781853095628,-0.040804797971818754,0.2949800133192812,-0.08712661645336517,-0.04089538474207244,0.23602307077593956,-0.1324600026344037,-0.013334161574534514,0.21068053070985487,-0.17901675399118042,0.013569356657256119,0.11220854428805577,-0.18878467950200922,-0.04127261714295766,0.005921454098740793,0.06663289364308995,-0.035372094891260655,0.2462771589422289,0.11701358275629509,-0.035703450421013305,0.21399307048620875,0.18077555777209325,-0.09563534819935388,0.14377454963329367,0.10561237779709635,-0.161001102668758,0.2106910238283064,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
8,1778932839.3852355,0.0,0.0,0.0,0.0,-0.017,0.061,-0.00712790165662585,-0.03258991158236807,0.19139533560527017,-0.012432743052695644,-0.04018547214214277,0.2750324452967543,-0.013740781853095628,-0.040804797971818754,0.2949800133192812,-0.08712661645336517,-0.04089538474207244,0.23602307077593956,-0.1324600026344037,-0.013334161574534514,0.21068053070985487,-0.17901675399118042,0.013569356657256119,0.11220854428805577,-0.18878467950200922,-0.04127261714295766,0.005921454098740793,0.06663289364308995,-0.035372094891260655,0.2462771589422289,0.11701358275629509,-0.035703450421013305,0.21399307048620875,0.18077555777209325,-0.09563534819935388,0.14377454963329367,0.10561237779709635,-0.161001102668758,0.2106910238283064,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
9,1778932839.3936248,0.0,0.0,0.0,0.0,-0.017,0.061,-0.00712790165662585,-0.03258991158236807,0.19139533560527017,-0.012432743052695644,-0.04018547214214277,0.2750324452967543,-0.013740781853095628,-0.040804797971818754,0.2949800133192812,-0.08712661645336517,-0.04089538474207244,0.23602307077593956,-0.1324600026344037,-0.013334161574534514,0.21068053070985487,-0.17901675399118042,0.013569356657256119,0.11220854428805577,-0.18878467950200922,-0.04127261714295766,0.005921454098740793,0.06663289364308995,-0.035372094891260655,0.2462771589422289,0.11701358275629509,-0.035703450421013305,0.21399307048620875,0.18077555777209325,-0.09563534819935388,0.14377454963329367,0.10561237779709635,-0.161001102668758,0.2106910238283064,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
