frame,timestamp_sec,pelvis_x,pelvis_y,pelvis_z,abdomen_x,abdomen_y,abdomen_z,chest_x,chest_y,chest_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_upper_arm_x,r_upper_arm_y,r_upper_arm_z,r_forearm_x,r_forearm_y,r_forearm_z,r_wrist_x,r_wrist_y,r_wrist_z,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_upper_arm_x,l_upper_arm_y,l_upper_arm_z,l_forearm_x,l_forearm_y,l_forearm_z,l_wrist_x,l_wrist_y,l_wrist_z,r_thigh_x,r_thigh_y,r_thigh_z,r_shin_x,r_shin_y,r_shin_z,r_foot_x,r_foot_y,r_foot_z,l_thigh_x,l_thigh_y,l_thigh_z,l_shin_x,l_shin_y,l_shin_z,l_foot_x,l_foot_y,l_foot_z
0,1778918894.0507905,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,1778918894.818845,0.0,0.0,0.0,0.0,-0.017,0.061,0.002769819897311421,-0.035706146778671864,0.19115069743652874,0.004556882371169,-0.05366707655593947,0.27334079056976834,0.004959209411076568,-0.05676770651517089,0.29309488449505056,-0.07321633029375196,-0.04913115070938377,0.24121350048032103,-0.12830206298416252,-0.07959958123702238,0.24900869360943917,-0.204530082619819,-0.12944934136017577,0.3145247446052833,-0.17538935175122553,-0.17764632172300826,0.42048638336360444,0.0809232675379061,-0.04568554696171022,0.2386150018544343,0.14067477681233354,-0.07098302690957672,0.2376620980696721,0.23232611688648824,-0.11513342287923553,0.2849784472349869,0.1861820454612786,-0.16652699175099178,0.3831080847097539,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
2,1778918894.8522334,0.0,0.0,0.0,0.0,-0.017,0.061,0.0019319162093339153,-0.03541055215065632,0.19120796881163488,0.003809672725490089,-0.050255957164951515,0.2740155045824061,0.004244343884829416,-0.052608465432902804,0.2938719082304099,-0.07401729185055755,-0.046259422192119704,0.24194680811545372,-0.12943732706946395,-0.07348229990973859,0.25682639651116856,-0.20632252798886894,-0.10679345422185525,0.33143936708584193,-0.200968864167312,-0.1509198841837731,0.4429032467173248,0.08013790030101181,-0.04426801591118909,0.23880817246648356,0.13914169149226707,-0.0693639922497119,0.24664817529838867,0.22806055655924015,-0.10083989821595345,0.30739984423682776,0.21032082068652586,-0.14845573289233538,0.41611062594332554,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
3,1778918894.8856254,0.0,0.0,0.0,0.0,-0.017,0.061,-0.000618388992830204,-0.03410927027808767,0.19139818380019144,-0.0020709465396578928,-0.05003272389557514,0.2740137616379387,-0.002439564011800531,-0.052643900653130404,0.2938391463025557,-0.07853622042108852,-0.04587922287250688,0.23883961886957616,-0.12853485025028333,-0.07385836875425497,0.2590498826969107,-0.1884944902382112,-0.1072544307559249,0.3478057676584088,-0.19910679028161046,-0.15046306754042282,0.4592525836515731,0.0756093724125893,-0.043325619448653416,0.24204201164806097,0.13047648686362834,-0.06944915731356045,0.25838113091746984,0.20381001261273476,-0.10266260246969229,0.33652921830331534,0.2002768634955906,-0.1536446596528726,0.44510337131722094,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
4,1778918894.9190106,0.0,0.0,0.0,0.0,-0.017,0.061,-0.0028815528125539884,-0.03388995255659545,0.1913964034350949,-0.0060871217609684385,-0.05028466784304038,0.2738702637691024,-0.006873830392734014,-0.05300891191987553,0.29366823295128186,-0.08179476140235703,-0.04575703379939415,0.237137936999669,-0.12852750497605744,-0.07411853179885967,0.25913991335405484,-0.17814270234235985,-0.10739506074838881,0.3541086835439125,-0.1846527032851377,-0.14388181440967518,0.46824166166586306,0.07225588430642294,-0.04356871595995224,0.2435605394115839,0.12152399155054094,-0.07059918537027599,0.2663556623571463,0.1760672031547681,-0.10403852835443578,0.35852350332504695,0.18207398208451958,-0.14602907398174264,0.47077639943383415,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
5,1778918894.952401,0.0,0.0,0.0,0.0,-0.017,0.061,-0.0019263649674399193,-0.035283108328275345,0.1912260071592936,-0.004147127766174081,-0.0533492447248371,0.27338246112544645,-0.004701483526590534,-0.05647503145342325,0.2931289075657122,-0.08027876746558116,-0.04835216457312666,0.23759960731755386,-0.12687945437047182,-0.07766197924536383,0.25893662777580717,-0.1760684062846138,-0.11406474343420743,0.35297570619004764,-0.18225331202930012,-0.15217705205622561,0.4665943616671718,0.07382630896064318,-0.04574351714475465,0.24233884546962078,0.12367219829509185,-0.07291135163122675,0.2639772606360045,0.18013400242358618,-0.1070424899259579,0.35472522244926785,0.19087560506194284,-0.14794213740452788,0.46702765701276405,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
6,1778918894.985793,0.0,0.0,0.0,0.0,-0.017,0.061,0.0016661897841734915,-0.035995941442099354,0.19112752934377508,0.0023890383015110423,-0.054533306116213445,0.27320580662199223,0.0025356161825595327,-0.057772506971529566,0.29294120863825995,-0.07496178771442272,-0.049763186806627294,0.24010738254432612,-0.12264422560282606,-0.08004830800189544,0.2603404631711521,-0.1748750404476042,-0.12027690565255852,0.35112407629440007,-0.18483538510466085,-0.16253034920190917,0.46299649489047073,0.07919861095510658,-0.04631705408501029,0.23952802832039105,0.1320275254518133,-0.07268886237695936,0.2575826283751728,0.19879109863971783,-0.1059630156162958,0.3413890632199297,0.2158149983731404,-0.15137010546174284,0.4511541898751377,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
7,1778918895.0191824,0.0,0.0,0.0,0.0,-0.017,0.061,0.004819751813050319,-0.03467754762629126,0.1912346734750942,0.007993671978290125,-0.05235687133557207,0.2734439657963832,0.008724751123104172,-0.055389934342161926,0.2931991183415313,-0.07030181743711547,-0.04821700117235492,0.24255565389311173,-0.1183165395172944,-0.07933405317591749,0.2621397600502097,-0.17107381744562875,-0.12309065703548303,0.35096594844231366,-0.1817767810225891,-0.1690717801470833,0.4612890325546886,0.08376213719851985,-0.044208143643742384,0.23746969839348436,0.13714075981977963,-0.07106973330032097,0.25294555961749515,0.20636816124472057,-0.1070789698157235,0.333561713566489,0.22917753790683604,-0.15499883653846813,0.4411880054730679,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
8,1778918895.052573,0.0,0.0,0.0,0.0,-0.017,0.061,0.006000189641588825,-0.03240942703577473,0.19147353431051722,0.009698809365804952,-0.04811430955372101,0.2740609236458942,0.010552218428615347,-0.050673352300922,0.29387816344334095,-0.06878445676934547,-0.04494338964050687,0.24353663489639005,-0.11673258239486095,-0.07600865425237094,0.2635460149059005,-0.16926186639279023,-0.11919185892228605,0.3527869677084177,-0.17969826667434252,-0.16435404980231233,0.4634732724804143,0.08523476402323521,-0.04060172293457093,0.23746460420963905,0.13808485265808246,-0.06807466319124401,0.25239427131525305,0.20571325103877902,-0.10636494567717464,0.3333159402279085,0.22844050791152892,-0.1538598463340453,0.4411477824946249,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
9,1778918895.0859733,0.0,0.0,0.0,0.0,-0.017,0.061,0.006218401285657952,-0.03182610802109843,0.19153089243233135,0.00999671319507487,-0.047316619258190584,0.27415515291754644,0.010876460154252896,-0.04982404551471786,0.29397783837779357,-0.0685301754758892,-0.04376438018564821,0.2437854418022018,-0.11781958982860932,-0.07427139229471254,0.26301554539717525,-0.17434308608339918,-0.11642259428924145,0.3502877233323636,-0.1897190465731463,-0.16070263547776392,0.46075426936038283,0.08549911233248618,-0.04035988067466917,0.23738014084717995,0.13901025830419494,-0.06788165389763186,0.25142567049540154,0.20925069277424935,-0.10595885240206224,0.33019413385169794,0.23099697630896143,-0.1538375998418443,0.4380585148865208,-0.06654035021732241,-0.004999999999999914,-0.024000000000000018,-0.06654035021732241,-0.004999999999999255,-0.20600000000000002,-0.06654035021732241,-0.004999999999998644,-0.386,0.0665403502173223,-0.004999999999999914,-0.024000000000000018,0.0665403502173223,-0.004999999999999255,-0.20600000000000002,0.0665403502173223,-0.004999999999998644,-0.386
