Average timer callback time, Average topic callback time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
20887,0,0,751.9,0,0.606815
26519.5,0,0,751.9,0,0.606815
28277.3,0,0,751.9,0,0.606815
29200.2,0,0,751.9,0,0.606815
29755.4,0,0,751.9,0,0.606815
30125.7,0,0,751.9,0,0.606815
30390.3,0,0,751.9,0,0.606815
30587.2,0,0,751.9,0,0.606815
30759.9,0,0,751.9,0,0.606815
30881,0,0,751.9,0,0.606815
30964.5,0,0,751.9,0,0.606815
31063.9,0,0,751.9,0,0.606815
31123.8,0,0,751.9,0,0.606815
31180.6,0,0,751.9,0,0.606815
31233.5,0,0,751.9,0,0.606815
31279.4,0,0,751.9,0,0.606815
31319.9,0,0,751.9,0,0.606815
31357,0,0,751.9,0,0.606815
31389.6,0,0,751.9,0,0.606815
31419,0,0,751.9,0,0.606815
31445.8,0,0,751.9,0,0.606815
31469.7,0,0,751.9,0,0.606815
31491.7,0,0,751.9,0,0.606815
31509.5,0,0,751.9,0,0.606815
31529.9,0,0,751.9,0,0.606815
31546.5,0,0,751.9,0,0.606815
31568.4,0,0,751.9,0,0.606815
31577.1,0,0,751.9,0,0.606815
31591.3,0,0,751.9,0,0.606815
31602.8,0,0,751.9,0,0.606815
31614.4,0,0,751.9,0,0.606815
31625.8,0,0,751.9,0,0.606815
31636.4,0,0,751.9,0,0.606815
31646.5,0,0,751.9,0,0.606815
31656.1,0,0,751.9,0,0.606815
31664.6,0,0,751.9,0,0.606815
31673.2,0,0,751.9,0,0.606815
31682.8,0,0,751.9,0,0.606815
31690.6,0,0,751.9,0,0.606815
31696.3,0,0,751.9,0,0.606815
31704.9,0,0,751.9,0,0.606815
31711.5,0,0,751.9,0,0.606815
31717.7,0,0,751.9,0,0.606815
31721.8,0,0,751.9,0,0.606815
31727.2,0,0,751.9,0,0.606815
31732.4,0,0,751.9,0,0.606815
31737.5,0,0,751.9,0,0.606815
31742.1,0,0,751.9,0,0.606815
31747.9,0,0,751.9,0,0.606815
31751.1,0,0,751.9,0,0.606815
31755.4,0,0,751.9,0,0.606815
31759.5,0,0,751.9,0,0.606815
31763.3,0,0,751.9,0,0.606815
31767.3,0,0,751.9,0,0.606815
31770.9,0,0,751.9,0,0.606815
31774.9,0,0,751.9,0,0.606815
31778.2,0,0,751.9,0,0.606815
31781.5,0,0,751.9,0,0.606815
31784.6,0,0,751.9,0,0.606815
31787.8,0,0,751.9,0,0.606815
31790.8,0,0,751.9,0,0.606815
31794.3,0,0,751.9,0,0.606815
31801.2,0,0,751.9,0,0.606815
31799.2,0,0,751.9,0,0.606815
31801,0,0,751.9,0,0.606815
31803.5,0,0,751.9,0,0.606815
31806.4,0,0,751.9,0,0.606815
31809,0,0,751.9,0,0.606815
31811.4,0,0,751.9,0,0.606815
31814.4,0,0,751.9,0,0.606815
31816.6,0,0,751.9,0,0.606815
31818.5,0,0,751.9,0,0.606815
31820.6,0,0,751.9,0,0.606815
31822.7,0,0,751.9,0,0.606815
31824,0,0,751.9,0,0.606815
31826.1,0,0,751.9,0,0.606815
31830.8,0,0,751.9,0,0.606815
31830,0,0,751.9,0,0.606815
31833.9,0,0,751.9,0,0.606815
31833.6,0,0,751.9,0,0.606815
31835.3,0,0,751.9,0,0.606815
31836.9,0,0,751.9,0,0.606815
31838.5,0,0,751.9,0,0.606815
31840,0,0,751.9,0,0.606815
31841.6,0,0,751.9,0,0.606815
31843.3,0,0,751.9,0,0.606815
31844.9,0,0,751.9,0,0.606815
31847.7,0,0,751.9,0,0.606815
31847.9,0,0,751.9,0,0.606815
31849.4,0,0,751.9,0,0.606815
31850.6,0,0,751.9,0,0.606815
31852,0,0,751.9,0,0.606815
31853.5,0,0,751.9,0,0.606815
31854.9,0,0,751.9,0,0.606815
31856.3,0,0,751.9,0,0.606815
31859.2,0,0,751.9,0,0.606815
31858.6,0,0,751.9,0,0.606815
31859.8,0,0,751.9,0,0.606815
