Average timer callback time, Average topic callback time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
21084,0,0,-11.2062,0,179.561
26495,0,0,-11.2062,0,179.561
28305.7,0,0,-11.2062,0,179.561
29218.5,0,0,-11.2062,0,179.561
29769.2,0,0,-11.2062,0,179.561
30136.8,0,0,-11.2062,0,179.561
30397.4,0,0,-11.2062,0,179.561
30589.9,0,0,-11.2062,0,179.561
30743,0,0,-11.2062,0,179.561
30865.6,0,0,-11.2062,0,179.561
30986,0,0,-11.2062,0,179.561
31051.3,0,0,-11.2062,0,179.561
31121.5,0,0,-11.2062,0,179.561
31182,0,0,-11.2062,0,179.561
31238.4,0,0,-11.2062,0,179.561
31280.8,0,0,-11.2062,0,179.561
31321.7,0,0,-11.2062,0,179.561
31358.6,0,0,-11.2062,0,179.561
31390.5,0,0,-11.2062,0,179.561
31419.8,0,0,-11.2062,0,179.561
31445.9,0,0,-11.2062,0,179.561
31469.9,0,0,-11.2062,0,179.561
31491.7,0,0,-11.2062,0,179.561
31511.8,0,0,-11.2062,0,179.561
31530.2,0,0,-11.2062,0,179.561
31547,0,0,-11.2062,0,179.561
31562.6,0,0,-11.2062,0,179.561
31577.1,0,0,-11.2062,0,179.561
31590.8,0,0,-11.2062,0,179.561
31603.2,0,0,-11.2062,0,179.561
31613.4,0,0,-11.2062,0,179.561
31625.9,0,0,-11.2062,0,179.561
31635.1,0,0,-11.2062,0,179.561
31646.3,0,0,-11.2062,0,179.561
31651.7,74,0,-11.2062,180,179.561
31660,42.5,11.3016,-11.1969,179.644,179.614
31666.1,33,22.5594,-11.0785,178.58,179.617
31674.3,28.5,33.7283,-10.6453,176.811,179.515
31680,25.8,66.2618,-9.83053,167.359,179.164
31686.9,23.3333,105.801,-8.55671,145.623,178.462
31693,22.5714,131.214,-6.77938,123.218,177.273
31698.9,21.75,151.979,-4.46125,96.448,175.343
31704.7,20.5556,167.359,-1.5306,66.2613,172.791
31710.1,19.7,176.811,2.03338,33.728,169.438
31715.4,18.9091,180,6.13386,0,165.592
31720,18.4167,176.811,10.6288,-33.728,161.099
31724.5,17.9231,162.869,15.5154,-76.64,156.497
31729.1,17.4286,145.623,20.6587,-105.8,151.443
31733.4,17.0667,123.218,26.0653,-131.214,146.167
31737.7,16.75,96.4484,31.6017,-151.979,140.717
31741.6,16.5882,66.2618,37.2493,-167.359,135.108
31745.1,16.3333,33.7283,42.8947,-176.811,129.314
31749,16.1053,0,47.5281,-180,123.519
31752.3,15.95,-44.7638,50.9831,-174.344,117.649
31755.7,16.0476,-76.6403,53.4353,-162.868,111.671
31759,15.8182,-105.801,54.9623,-145.623,105.23
31767.2,15.4783,-131.214,55.6129,-123.218,99.2213
31765.6,15.2917,-151.979,55.4006,-96.448,93.2919
31768.6,15.12,-167.359,54.3426,-66.2613,87.0068
31771.8,15.0385,-178.581,52.4384,-22.5588,80.9446
31775.7,14.8889,-179.644,49.6899,11.3019,74.6856
31778.3,14.9286,-174.345,46.2134,44.7633,68.4338
31780.9,14.931,-162.869,42.2219,76.64,62.2839
31782.4,14.9333,-145.623,37.7736,105.8,56.653
31785,14.9032,-123.218,32.9803,131.214,51.4181
31787.3,14.7812,-86.7154,27.9187,157.735,46.8729
31789.8,14.6061,-55.6229,22.6204,171.189,43.1609
31792.9,14.5,-22.5594,17.0675,178.58,40.1754
31795,14.3714,11.3016,11.4106,179.644,38.3064
31796.1,14.2778,44.7638,5.81038,174.344,37.3476
31799,14.2973,76.6403,0.427477,162.868,37.4282
31800.3,14.2105,105.801,-4.71802,145.623,38.5067
31802.2,14.1282,138.692,-9.47765,114.735,40.7016
31804.1,14.025,157.735,-13.7567,86.7153,43.8684
31805.9,14.0244,171.19,-17.5524,55.6219,47.3837
31807.8,13.9524,178.581,-20.7649,22.5588,51.4252
31810.1,13.8605,179.644,-23.4338,-11.3019,55.539
31811.2,13.8636,174.345,-25.4542,-44.7633,59.3493
31812.9,13.8444,157.735,-26.8191,-86.7153,62.7639
31814.5,13.8043,138.692,-27.5249,-114.735,65.6332
31816.5,13.8511,114.736,-27.5515,-138.692,67.808
31817.5,13.875,86.7154,-26.9145,-157.735,69.1532
31819,13.8163,55.6229,-25.5102,-171.189,69.5941
31820.5,13.84,22.5594,-23.3649,-178.58,69.2136
31822,13.7843,-11.3016,-20.4744,-179.644,67.7867
31823.9,13.7115,-55.6229,-16.9004,-171.189,65.2575
31824.5,13.7358,-86.7154,-12.9426,-157.735,61.9935
31826.2,13.8519,-114.736,-8.86369,-138.692,58.1973
31827.2,13.8727,-138.692,-4.80122,-114.735,54.0314
31828.7,13.8214,-157.735,-0.961106,-86.7153,49.3499
31829.2,13.8421,-171.19,2.6373,-55.6219,44.3876
31830.4,13.7931,-179.644,5.86274,-11.3019,39.1633
31831.6,13.7458,-178.581,8.64349,22.5588,33.7481
31833.5,13.7833,-171.19,10.8921,55.6219,28.2916
31834,13.8033,-157.735,12.6192,86.7153,23.0625
31835.1,13.8065,-138.692,13.7517,114.735,18.2471
31836.2,13.8095,-114.736,14.2387,138.692,13.9804
31837.3,13.8125,-86.7154,14.0802,157.735,10.4948
31838.8,13.7538,-44.7638,13.2604,174.344,7.85659
31839.9,13.7727,-11.3016,11.7384,179.644,6.11082
31840.8,13.791,22.5594,9.56085,178.58,5.28119
31841.8,13.7647,55.6229,6.9343,171.189,5.46607
31844.3,13.7536,86.7154,4.1263,157.735,6.6477
31843.1,13.6857,114.736,1.352,138.692,8.97067
31844.6,13.6479,145.623,-1.2896,105.8,12.0356
31845.6,13.6389,162.869,-3.63929,76.64,15.7345
31847.5,13.6575,174.345,-5.59521,44.7633,19.859
31846.7,13.6757,179.644,-7.12222,11.3019,24.3473
31847.9,13.5867,178.581,-8.16079,-22.5588,28.8024
31848.9,13.6184,171.19,-8.62198,-55.6219,32.9197
31850.3,13.5455,151.979,-8.49789,-96.448,36.563
31852.5,13.4744,131.214,-7.76631,-123.218,39.6385
31852,13.4557,105.801,-6.36697,-145.623,41.9947
31852.9,13.4875,76.6403,-4.30274,-162.868,43.4762
31853.8,13.4568,44.7638,-1.53131,-174.344,44.0356
31854.8,13.4512,11.3016,1.94588,-179.644,43.6859
31855.8,13.3735,-22.5594,5.92299,-178.58,42.2815
31856.7,13.3571,-66.2618,10.253,-167.359,39.8554
31857.5,13.3294,-96.4484,14.6461,-151.979,36.6862
31858.1,13.3605,-123.218,18.9245,-131.214,32.9292
31859.3,13.3448,-145.623,23.0178,-105.8,28.6945
31859.5,13.3636,-162.869,26.7553,-76.64,24.1209
31860,13.382,-174.345,30.0934,-44.7633,19.1324
31860.7,13.3667,-180,32.9688,0,13.9259
