Average timer callback time, Average topic callback time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
21045,0,0,32.821,0,90.0527
26508.5,0,0,32.821,0,90.0527
28327,0,0,32.821,0,90.0527
29231.5,0,0,32.821,0,90.0527
29784.4,0,0,32.821,0,90.0527
30149.5,0,0,32.821,0,90.0527
30409.9,0,0,32.821,0,90.0527
30602.9,0,0,32.821,0,90.0527
30754.6,0,0,32.821,0,90.0527
30878.2,0,0,32.821,0,90.0527
30976.2,0,0,32.821,0,90.0527
31059.4,0,0,32.821,0,90.0527
31130.7,0,0,32.821,0,90.0527
31191,0,0,32.821,0,90.0527
31244.3,0,0,32.821,0,90.0527
31284.5,55,0,32.821,180,90.0527
31325.6,55,0,32.8167,180,90.131
31361.4,55,0,32.7228,180,90.5019
31394.5,55,0,32.2831,180,91.5958
31426,32,11.3016,31.4454,179.644,93.3736
31460.2,32,11.3016,30.1888,179.644,95.9016
31470.8,32,11.3016,28.405,179.644,99.2213
31490.1,26.6667,22.5594,26.2403,178.58,102.977
31510.1,26.6667,22.5594,24.0355,178.58,107.329
31529.2,26.6667,22.5594,21.8386,178.58,112.036
31545.3,22.25,33.7283,19.7557,176.811,116.99
31561.6,22.25,33.7283,18.1161,176.811,122.239
31576.9,22.25,33.7283,16.8129,176.811,127.662
31590.4,19.2,44.7638,15.9407,174.344,133.25
31603,19.2,44.7638,15.623,174.344,138.926
31615.4,19.2,44.7638,15.7994,174.344,144.467
31626.4,17.1667,55.6229,16.6156,171.189,149.614
31637.4,17.1667,55.6229,18.053,171.189,153.86
31647.7,17.1667,55.6229,20.1868,171.189,157.158
31656.9,15.7143,66.2618,23.1139,167.359,159.819
31666.3,15.7143,66.2618,26.3372,167.359,161.886
31674.4,15.7143,66.2618,30.1981,167.359,163.162
31681.5,14.875,76.6403,34.4226,162.868,163.919
31689.2,14.875,76.6403,38.5016,162.868,164.308
31696.6,14.875,76.6403,42.8409,162.868,164.248
31702.9,14.1111,86.7154,47.3703,157.735,164.02
31709.5,14.1111,86.7154,51.6114,157.735,163.605
31715.8,14.1111,86.7154,55.9306,157.735,162.788
31722.9,14.1111,86.7154,60.2061,157.735,161.799
31726.6,13.8,96.4484,64.4278,151.979,160.96
