Average timer callback time, Average topic callback time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
20962,0,0,-11.3037,0,179.558
26470,0,0,-11.3037,0,179.558
28288,0,0,-11.3037,0,179.558
29199,0,0,-11.3037,0,179.558
29752.8,0,0,-11.3037,0,179.558
30123.3,0,0,-11.3037,0,179.558
30389,0,0,-11.3037,0,179.558
30582.1,0,0,-11.3037,0,179.558
30735.3,0,0,-11.3037,0,179.558
30858.8,0,0,-11.3037,0,179.558
30960.1,0,0,-11.3037,0,179.558
31048.1,0,0,-11.3037,0,179.558
31115.4,0,0,-11.3037,0,179.558
31178.2,0,0,-11.3037,0,179.558
31228.3,0,0,-11.3037,0,179.558
31275.8,0,0,-11.3037,0,179.558
31312.9,0,0,-11.3037,0,179.558
31350.9,0,0,-11.3037,0,179.558
31383.2,0,0,-11.3037,0,179.558
31410.8,0,0,-11.3037,0,179.558
31437.8,0,0,-11.3037,0,179.558
31461.1,0,0,-11.3037,0,179.558
31483.5,0,0,-11.3037,0,179.558
31499.2,76,0,-11.3037,180,179.558
31521.2,76,0,-11.2994,180,179.614
31536.5,46,11.3016,-11.2098,179.644,179.635
31548.7,35.6667,22.5594,-10.7472,178.58,179.635
31563.6,35.6667,22.5594,-9.92162,178.58,179.556
31577.1,29.25,33.7283,-8.6478,176.811,179.41
31589.2,25.2,44.7638,-6.86258,174.344,179.16
31601.3,25.2,44.7638,-4.55162,174.344,178.561
31611.8,23.6667,55.6229,-1.64679,171.189,177.752
31622.4,23.6667,55.6229,1.96309,171.189,176.885
31632,21.8571,66.2618,6.06788,167.359,175.808
31640.4,21.125,76.6403,10.5671,162.868,174.651
31649.5,21.125,76.6403,15.443,162.868,173.103
31657.3,20.4444,86.7154,20.5949,157.735,171.359
31664.9,19.8,96.4484,25.9269,151.979,169.474
31673.1,19.8,96.4484,31.4009,151.979,167.221
31680,19,105.801,37.0721,145.623,164.781
31686.6,18.25,114.736,42.8531,138.692,162.148
31693.4,18.25,114.736,48.774,138.692,159.179
31699.6,17.5385,123.218,54.7307,131.214,155.963
31706.2,17.5385,123.218,60.7706,131.214,152.666
31710.3,17.4286,131.214,66.8348,123.218,149.234
31715.1,17.5333,138.692,72.9336,114.735,145.762
31720.5,17.5333,138.692,79.0897,114.735,142.021
31726.2,17.3125,145.623,85.2816,105.8,137.773
31729.8,16.8235,151.979,91.4764,96.448,133.606
31734.5,16.8235,151.979,97.6713,96.448,129.262
31738.9,16.4444,157.735,103.896,86.7153,124.588
31748.1,16.0526,162.869,109.973,76.64,119.808
31747.4,16.0526,162.869,115.962,76.64,114.707
31750.9,15.8,167.359,121.906,66.2613,109.426
31755,15.8,167.359,127.646,66.2613,104.068
31758.4,15.7143,171.19,133.122,55.6219,98.5991
31761.6,15.4545,174.345,138.332,44.7633,93.133
31765.3,15.4545,174.345,143.322,44.7633,87.5081
31768.2,15.3478,176.811,148.03,33.728,81.7683
31771.2,15.2917,178.581,152.385,22.5588,75.9621
31774.5,15.2917,178.581,156.479,22.5588,70.1073
31777.2,15.12,179.644,160.286,11.3019,64.1351
31779.9,15.0385,180,163.658,0,57.8987
31783.5,15.0385,180,166.676,0,51.8459
31785.3,14.8889,179.644,169.232,-11.3019,45.6379
31790,14.9286,178.581,171.319,-22.5588,39.4276
31789.3,14.9286,178.581,172.894,-22.5588,33.1899
31791.9,14.9655,176.811,173.994,-33.728,26.9641
31794.5,14.9655,176.811,174.827,-33.728,20.7159
31795.6,14.9333,174.345,175.368,-44.7633,14.477
31798.2,14.8387,171.19,175.589,-55.6219,8.23704
31800.6,14.8387,171.19,175.532,-55.6219,1.9757
31802.1,14.7812,167.359,175.093,-66.2613,-4.27259
31803.9,14.7879,162.869,174.37,-76.64,-10.5671
31805.6,14.7879,162.869,173.379,-76.64,-16.8119
31807.6,14.6765,157.735,172.043,-86.7153,-23.0767
31809.3,14.5714,151.979,170.515,-96.448,-29.3736
31811.9,14.5714,151.979,168.764,-96.448,-35.4951
31813.2,14.4444,145.623,166.69,-105.8,-41.7612
31815.3,14.4444,145.623,164.397,-105.8,-48.051
31816.9,14.4595,138.692,161.935,-114.735,-54.317
31818.8,14.2895,131.214,159.388,-123.218,-60.4172
31820.6,14.2895,131.214,156.657,-123.218,-66.9831
31822.2,14.359,123.218,153.652,-131.214,-73.0098
31824.5,14.4,114.736,150.48,-138.692,-79.3979
31825.3,14.4,114.736,147.063,-138.692,-85.6118
31826.6,14.4878,105.801,143.386,-145.623,-91.8139
31830.3,14.4762,96.4484,139.557,-151.979,-98.1132
31829.5,14.4762,96.4484,135.51,-151.979,-104.417
31830.8,14.3721,86.7154,131.207,-157.735,-110.763
31833.2,14.3721,86.7154,126.758,-157.735,-117.022
31833.8,14.2727,76.6403,122.16,-162.868,-123.161
31834.9,14.1778,66.2618,117.492,-167.359,-129.017
31836.4,14.1778,66.2618,112.679,-167.359,-134.833
31837.5,14.087,55.6229,107.662,-171.189,-140.319
31839.5,13.9787,44.7638,102.503,-174.344,-145.406
31841.8,13.9787,44.7638,97.2237,-174.344,-150.217
31841,13.9167,33.7283,91.7246,-176.811,-154.628
31842.1,13.8367,22.5594,86.1394,-178.58,-158.622
31843.4,13.8367,22.5594,80.4209,-178.58,-162.271
31844.6,13.76,11.3016,74.5854,-179.644,-165.402
31845.9,13.76,11.3016,68.6975,-179.644,-168.104
31846.8,13.6863,0,62.7645,-180,-170.348
31847.9,13.5769,-11.3016,56.7576,-179.644,-172.194
31849.2,13.5769,-11.3016,50.6309,-179.644,-173.588
31850,13.5283,-22.5594,44.5056,-178.58,-174.707
31851.1,13.4259,-33.7283,38.3761,-176.811,-175.519
31852.2,13.4259,-33.7283,32.2315,-176.811,-175.84
31853.2,13.3636,-44.7638,25.9993,-174.344,-175.938
31854.1,13.2857,-55.6229,19.8002,-171.189,-175.982
31855.2,13.2857,-55.6229,13.5566,-171.189,-175.77
31856,13.2105,-66.2618,7.30584,-167.359,-175.159
31856.8,13.1552,-76.6403,1.06367,-162.868,-174.148
31858.3,13.1552,-76.6403,-5.15841,-162.868,-172.642
31858.7,13.0847,-86.7154,-11.3905,-157.735,-170.84
31859.7,13.0847,-86.7154,-17.703,-157.735,-169.01
31860.3,13.0167,-96.4484,-23.9617,-151.979,-167.034
31861.1,12.9508,-105.801,-30.2476,-145.623,-164.935
31861.7,12.9508,-105.801,-36.5177,-145.623,-162.519
31862.6,12.9032,-114.736,-42.8065,-138.692,-159.794
31863.6,12.8413,-123.218,-49.0938,-131.214,-156.981
31863.9,12.8413,-123.218,-55.3525,-131.214,-153.747
31865.3,12.7812,-131.214,-61.6628,-123.218,-150.276
31865.3,12.7385,-138.692,-67.9559,-114.735,-146.682
31866.2,12.7385,-138.692,-74.2562,-114.735,-142.754
31866.9,12.6818,-145.623,-80.5184,-105.8,-138.609
31867.8,12.6818,-145.623,-86.7971,-105.8,-134.43
31868.3,12.6567,-151.979,-93.1161,-96.448,-130.021
31868.9,12.6029,-157.735,-99.3991,-86.7153,-125.606
31869.8,12.6029,-157.735,-105.675,-86.7153,-120.902
31870.3,12.6377,-162.869,-111.87,-76.64,-116.083
31870.9,12.6,-167.359,-117.941,-66.2613,-111.122
31871.6,12.6,-167.359,-123.828,-66.2613,-105.823
31872.2,12.5493,-171.19,-129.555,-55.6219,-100.321
31872.8,12.5,-174.345,-134.992,-44.7633,-94.7603
31873.6,12.5,-174.345,-140.249,-44.7633,-89.069
31874.2,12.4521,-176.811,-145.268,-33.728,-83.2628
31874.8,12.4521,-176.811,-149.996,-33.728,-77.1781
31875.2,12.4865,-178.581,-154.382,-22.5588,-71.3233
31875.7,12.44,-179.644,-158.352,-11.3019,-65.4222
31876.4,12.44,-179.644,-161.967,-11.3019,-59.2178
