Average operating time,Desired Position Motor #1,Present Position Motor #1,Desired Position Motor #2,Present Position Motor #2
21046,0,0.149187,0,0.192
26507,0,0.149187,0,0.192
28331.3,0,0.149187,0,0.192
29240.8,0,0.149187,0,0.192
29787.2,0,0.149187,0,0.192
30152.3,0,0.149187,0,0.192
30413.4,0,0.149187,0,0.192
30608.6,0,0.149187,0,0.192
30760,0,0.149187,0,0.192
30881.8,0,0.149187,0,0.192
30980.8,0,0.149187,0,0.192
31080.9,0,0.149187,0,0.192
31133.8,0,0.149187,0,0.192
31193.6,0,0.149187,0,0.192
31245.5,0,0.149187,0,0.192
31290.7,0,0.149187,0,0.192
31331.1,0,0.149187,0,0.192
31364.9,0,0.149187,0,0.192
31398.7,0,0.149187,0,0.192
31427.3,0,0.149187,0,0.192
31453.4,0,0.149187,0,0.192
31476.8,0,0.149187,0,0.192
31498.3,0,0.149187,0,0.192
31519,0,0.149187,0,0.192
31543.7,0,0.149187,0,0.192
31554,0,0.149187,0,0.192
31569.5,0,0.149187,0,0.192
31583.9,0,0.149187,0,0.192
31597.8,0,0.149187,0,0.192
31610.6,0,0.149187,0,0.192
31622.2,0,0.149187,0,0.192
31633.8,0,0.149187,0,0.192
31644.1,0,0.149187,0,0.192
31658.1,0,0.149187,0,0.192
31662.1,0,0.149187,0,0.192
31670.8,0,0.149187,0,0.192
31684.4,0,0.149187,0,0.192
31686.7,0,0.149187,0,0.192
31694.3,0,0.149187,0,0.192
31701.2,0,0.149187,0,0.192
31707.8,0,0.149187,0,0.192
31713.2,0,0.149187,0,0.192
31720.5,0,0.149187,0,0.192
31724.5,0,0.149187,0,0.192
31729.9,0,0.149187,0,0.192
31736.5,0,0.149187,0,0.192
31740.2,0,0.149187,0,0.192
31746.2,0,0.149187,0,0.192
31748.4,0,0.149187,180,0.192
31752.9,0,0.144166,180,0.260741
31756,0,0.144166,180,0.57837
31759.8,11.3016,0.144166,179.644,1.64504
31763.5,11.3016,0.144166,179.644,3.47496
31767.4,11.3016,0.237407,179.644,5.96978
31770.7,22.5594,0.646953,178.58,9.20889
31774.3,22.5594,1.42158,178.58,13.0655
31777.9,22.5594,2.64734,178.58,17.3476
31781.1,22.5594,4.4132,178.58,22.029
31784.1,33.7283,6.68972,176.811,26.995
31787.2,33.7283,8.99638,176.811,32.1884
31790.2,33.7283,11.5914,176.811,37.6344
31792.8,44.7638,14.583,174.344,43.2782
31798.9,44.7638,17.4218,174.344,49.0121
31798.4,44.7638,20.5131,174.344,54.8385
31800.7,55.6229,23.8792,171.189,60.6933
31803.2,55.6229,27.0594,171.189,66.7615
31805.9,55.6229,30.4233,171.189,72.8308
31808.2,66.2618,33.8739,167.359,79.0447
31810.7,66.2618,37.3124,167.359,85.0157
31813.1,66.2618,40.786,167.359,91.2225
31814.7,76.6403,44.5035,162.868,97.2575
31819.9,76.6403,47.876,162.868,103.447
31822.6,76.6403,51.4299,162.868,109.728
31820.8,86.7154,55.0979,157.735,116.005
31822.9,86.7154,58.4818,157.735,122.196
31824.9,86.7154,61.9641,157.735,127.886
31826.4,96.4484,65.6026,151.979,133.244
31828.3,96.4484,68.9184,151.979,137.919
31830.3,96.4484,72.3799,151.979,141.848
31831.9,105.801,75.88,145.623,144.846
31833.8,105.801,79.2647,145.623,146.921
31835.3,105.801,82.64,145.623,148.005
31837.7,105.801,86.0577,145.623,148.136
31838.3,114.736,89.4158,138.692,147.887
31840,114.736,92.3508,138.692,147.226
31844.7,114.736,95.285,138.692,145.999
31843.1,123.218,98.3118,131.214,144.622
31844.7,123.218,101.097,131.214,143.163
31846.1,123.218,103.941,131.214,141.42
31847.3,131.214,106.846,123.218,139.552
31848.6,131.214,109.672,123.218,137.675
31850,131.214,112.492,123.218,135.553
31851.2,138.692,115.385,114.735,133.308
31852.4,138.692,118.153,114.735,131.091
31853.4,138.692,120.93,114.735,128.567
31854.8,145.623,123.753,105.8,126.078
31855.6,145.623,126.401,105.8,123.571
31858.4,145.623,129.079,105.8,120.877
31857.2,151.979,131.853,96.448,118.177
31858.4,151.979,134.284,96.448,115.532
31859,151.979,136.794,96.448,112.717
31859.9,157.735,139.307,86.7153,109.833
31864.1,157.735,141.645,86.7153,107.028
31862.1,157.735,144.063,86.7153,103.96
31863.2,157.735,146.313,86.7153,100.923
31863.4,162.869,148.431,76.64,98.1819
31864.7,162.869,150.311,76.64,95.6859
31865.7,162.869,152.077,76.64,93.0679
31866.5,167.359,153.862,66.2613,90.3123
31867.5,167.359,155.597,66.2613,87.507
31868.5,167.359,157.375,66.2613,84.4243
31869.2,171.19,159.153,55.6219,81.3108
31870.2,171.19,160.765,55.6219,78.2127
31871.2,171.19,162.36,55.6219,74.9049
31871.9,174.345,163.985,44.7633,71.5579
31872.7,174.345,165.461,44.7633,68.2868
31873.6,174.345,166.901,44.7633,64.845
31874.1,176.811,168.293,33.728,61.408
31874.9,176.811,169.528,33.728,58.0314
31875.8,176.811,170.738,33.728,54.4604
31876.2,178.581,171.925,22.5588,50.9049
31877,178.581,172.937,22.5588,47.4228
31877.8,178.581,173.884,22.5588,43.7061
31878.4,179.644,174.796,11.3019,40.0474
31879.2,179.644,175.542,11.3019,36.5025
31879.9,179.644,176.278,11.3019,32.7953
31880.4,180,176.97,0,29.1686
31881.1,180,177.5,0,25.6071
31881.8,180,177.998,0,21.8394
31882.5,180,178.399,0,18.131
31883.1,179.644,178.71,-11.3019,14.6596
31883.6,179.644,178.938,-11.3019,11.5461
31884.3,179.644,179.067,-11.3019,8.3437
31884.8,178.581,179.168,-22.5588,5.08444
31885.5,178.581,179.235,-22.5588,1.76711
31886.2,178.581,179.2,-22.5588,-1.72681
31886.6,176.811,179.086,-33.728,-5.24326
31887.2,176.811,178.982,-33.728,-8.7123
31887.8,176.811,178.752,-33.728,-12.4065
31888.3,174.345,178.381,-44.7633,-16.0403
31888.9,174.345,178.033,-44.7633,-19.5864
31889.4,174.345,177.635,-44.7633,-23.3742
31889.6,171.19,177.084,-55.6219,-27.0424
31890,171.19,176.483,-55.6219,-30.5683
31890.6,171.19,175.78,-55.6219,-34.2945
31891.1,167.359,174.976,-66.2613,-37.952
31891.7,167.359,174.159,-66.2613,-41.4756
31892.8,167.359,173.294,-66.2613,-45.1615
31893.1,162.869,172.273,-76.64,-48.787
31893.3,162.869,171.269,-76.64,-52.2951
31894.2,162.869,170.177,-76.64,-56.0119
31894.1,157.735,168.944,-86.7153,-59.5496
31894.6,157.735,167.737,-86.7153,-63.0151
31895.5,157.735,166.442,-86.7153,-66.611
31895.7,157.735,164.999,-86.7153,-70.1416
31896,151.979,163.62,-96.448,-73.3179
31896.8,151.979,162.411,-96.448,-76.1944
31897.1,151.979,161.245,-96.448,-79.1253
31898.5,145.623,159.914,-105.8,-82.1203
31898,145.623,158.455,-105.8,-85.0904
31898.9,145.623,156.855,-105.8,-88.2702
31898.9,138.692,155.089,-114.735,-91.3778
31899.5,138.692,153.343,-114.735,-94.4249
31899.8,138.692,151.495,-114.735,-97.5941
31900.1,131.214,149.496,-123.218,-100.661
31902.1,131.214,147.523,-123.218,-103.639
31900.9,131.214,145.485,-123.218,-106.674
31901.5,123.218,143.284,-131.214,-109.698
31902.1,123.218,141.123,-131.214,-112.569
31901.9,123.218,138.897,-131.214,-115.563
31902.2,114.736,136.525,-138.692,-118.463
31902.4,114.736,134.167,-138.692,-121.22
31902.8,114.736,131.768,-138.692,-124.07
31903.1,105.801,129.244,-145.623,-126.803
31903.5,105.801,126.72,-145.623,-129.387
31904.3,105.801,124.172,-145.623,-132.081
31904.5,96.4484,121.484,-151.979,-134.638
31904.5,96.4484,118.824,-151.979,-137.022
31905.2,96.4484,116.127,-151.979,-139.538
31905.2,96.4484,113.281,-151.979,-141.916
31905.5,86.7154,110.514,-157.735,-143.89
31906.3,86.7154,107.917,-157.735,-145.542
31906.3,86.7154,105.348,-157.735,-147.294
31906.6,76.6403,102.695,-162.868,-149.177
31907,76.6403,100.017,-162.868,-151.115
31907.6,76.6403,97.2617,-162.868,-153.212
31907.5,66.2618,94.3734,-167.359,-155.058
31907.9,66.2618,91.4642,-167.359,-156.788
31908.5,66.2618,88.5099,-167.359,-158.635
31908.4,55.6229,85.4021,-171.189,-160.367
31908.8,55.6229,82.3194,-171.189,-161.959
31909.5,55.6229,79.1743,-171.189,-163.612
31909.3,44.7638,75.8771,-174.344,-165.106
31909.7,44.7638,72.6366,-174.344,-166.388
31910.8,44.7638,69.3387,-174.344,-167.802
31910.5,33.7283,65.9505,-176.811,-169.089
31910.9,33.7283,62.5543,-176.811,-170.267
31910.8,33.7283,59.1388,-176.811,-171.473
31911.2,22.5594,55.6136,-178.58,-172.537
31911.2,22.5594,52.1844,-178.58,-173.44
31911.6,22.5594,48.6743,-178.58,-174.417
31911.9,22.5594,45.0744,-178.58,-175.214
31912.2,11.3016,41.5822,-179.644,-175.851
31913.1,11.3016,38.2785,-179.644,-176.503
31912.8,11.3016,35.0359,-179.644,-177.18
31913.1,0,31.6978,-180,-177.634
31914.2,0,28.4344,-180,-178.063
31913.7,0,25.0942,-180,-178.426
31913.9,-11.3016,21.6557,-179.644,-178.737
31914.5,-11.3016,18.2208,-179.644,-178.905
31914.8,-11.3016,14.7558,-179.644,-179.014
31914.8,-22.5594,11.1682,-178.58,-179.123
31915.9,-22.5594,7.6788,-178.58,-179.136
31915.4,-22.5594,4.08828,-178.58,-179.099
31915.8,-33.7283,0.464773,-176.811,-179.042
31915.9,-33.7283,-3.17093,-176.811,-178.905
31916.1,-33.7283,-6.79516,-176.811,-178.575
31916.1,-44.7638,-10.5363,-174.344,-178.24
31916.2,-44.7638,-14.1447,-174.344,-177.851
31916.7,-44.7638,-17.8149,-174.344,-177.175
31916.6,-55.6229,-21.5087,-171.189,-176.556
31916.8,-55.6229,-25.1695,-171.189,-176.049
31917.3,-55.6229,-28.8253,-171.189,-175.291
31917.2,-66.2618,-32.5635,-167.359,-174.462
31917.5,-66.2618,-36.1957,-167.359,-173.702
31917.6,-66.2618,-39.84,-167.359,-172.702
31918,-66.2618,-43.5761,-167.359,-171.57
31918.1,-76.6403,-47.1573,-162.868,-170.708
31918.3,-76.6403,-50.4753,-162.868,-169.96
31918.5,-76.6403,-53.7502,-162.868,-168.966
31918.7,-86.7154,-57.0323,-157.735,-167.799
31918.9,-86.7154,-60.2936,-157.735,-166.549
31919.3,-86.7154,-63.5262,-157.735,-165.1
31919.3,-96.4484,-66.9037,-151.979,-163.624
31920.2,-96.4484,-70.1234,-151.979,-162.207
31920,-96.4484,-73.4148,-151.979,-160.6
31920.1,-105.801,-76.7342,-145.623,-158.955
31920.1,-105.801,-79.9747,-145.623,-157.317
31920.6,-105.801,-83.2611,-145.623,-155.476
31920.6,-114.736,-86.5813,-138.692,-153.609
31921.4,-114.736,-89.8103,-138.692,-151.752
31921,-114.736,-92.9992,-138.692,-149.762
31921.2,-123.218,-96.2726,-131.214,-147.719
31921.1,-123.218,-99.3733,-131.214,-145.683
31921.3,-123.218,-102.512,-131.214,-143.449
31921.4,-131.214,-105.659,-123.218,-141.176
31921.6,-131.214,-108.684,-123.218,-139.014
