theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,frame
166.660869509268,18.1486847679778,-59.5474342681369,-44.9205551162613,-156.467565474267,19.8819127979669,45.455693966353,43.2236667865714,0,0,0,0,0
166.410591497011,19.3403239074162,-62.8981278350536,-41.0051126177415,-157.465129052729,20.9525123273015,47.6731222563296,38.3402686615602,0,0,0,0,0
176.143302090365,16.7726046881145,-69.7412813255589,-41.6930457987584,-163.104461734977,19.2555893731412,53.364526326406,39.383466170416,0,0,0,0,0
179.601373942318,16.5384807283232,-74.1881745618699,-41.3037385730833,-166.782149891026,18.8407701178889,57.3458255123156,38.8613938617584,0,0,0,0,0
-177.86025654201,15.9388387159807,-74.3557252627483,-40.5456230739004,-168.929218716222,18.1605769997583,57.1398524562056,38.1751871233159,0,0,0,0,0
-177.665859861783,15.9108480077136,-74.0526569312165,-39.8572560436717,-169.281172220468,18.1506795751111,57.2844038072106,37.4939486564121,0,0,0,0,0
-178.355970957936,16.0018372897242,-73.4763443856233,-39.3872132544395,-169.074222551505,18.1684083980276,57.229273685674,37.0647644063147,0,0,0,0,0
-176.74419308535,15.5122450453013,-72.5696530760435,-38.7799029661276,-169.071126576513,18.1149177225366,57.3185430959727,36.8175420225784,0,0,0,0,0
-176.842366999248,15.5550019798347,-72.5211908788032,-38.6114062157321,-170.825890004862,17.4797350790579,56.5255844911692,36.4749429807366,0,0,0,0,0
-176.520622784302,15.5217276816522,-72.8665564224253,-38.5751757378483,-171.326628275192,17.3902129068929,57.0341610355981,36.4608371645378,0,0,0,0,0
-176.17169007593,15.4689519023366,-73.2302138011142,-38.5704477773774,-171.756814076405,17.2694570470858,57.4545498054148,36.4994191242318,0,0,0,0,0
-175.726756416014,15.4333605848189,-73.6976953738196,-38.5544166277289,-172.394967950541,17.0999514675321,58.0784789692982,36.5555787108659,0,0,0,0,0
-175.232184957724,15.3769237778339,-74.2025671599107,-38.5842357567625,-173.067620122552,16.9815624897967,58.7308480358429,36.625376351801,0,0,0,0,0
-174.784439429977,15.379472232845,-74.6863377082422,-38.5301645433345,-173.812740924159,16.8896909940333,59.4766341062781,36.6363454717561,0,0,0,0,0
-174.275409254968,15.315873224522,-75.2080043966468,-38.5572758543833,-174.492549278627,16.7865958556899,60.1367947358994,36.7075860011764,0,0,0,0,0
-172.20338370671,14.9048457820861,-75.3720134511512,-38.3392674668152,-175.070652263885,16.6841642276149,60.6941277599611,36.7828031435413,0,0,0,0,0
-171.844749538982,14.8662542991917,-75.7475279739118,-38.338687538496,-175.557145306918,16.6119281461319,61.1697659368166,36.8275000724774,0,0,0,0,0
-171.691750774451,14.8550587765145,-75.9167874799926,-38.3125245317378,-175.994488744475,16.6023888563819,61.6235777419347,36.7895597718374,0,0,0,0,0
-171.318957443162,14.8751181068851,-76.3195839586042,-38.2890025470372,-176.200801350121,16.5921345732238,61.8392671528963,36.7677158202328,0,0,0,0,0
-171.121341244113,14.8096316137292,-76.509242193853,-38.3308683620714,-176.589945890146,16.5310934742975,62.2210655805239,36.8018781719054,0,0,0,0,0
-170.919099118367,14.8152402558592,-76.7278143358573,-38.3174232710837,-176.839177910231,16.5274643111603,62.4816029813336,36.7758404503174,0,0,0,0,0
-170.705304641292,14.7484869006844,-76.9227349887825,-38.394138215766,-177.083722014676,16.4427655102484,62.7078632812779,36.8400404882229,0,0,0,0,0
-170.482265877755,14.6848547445342,-77.1365444524886,-38.4441016077686,-177.284471144767,16.3592394642736,62.8810308361739,36.9304481659764,0,0,0,0,0
