theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,frame
0.0,83.75795997991355,-3.5761498820259234,51.96071322194142,0.0,84.97868496237625,4.574304840633367,-54.88241738807552,-44.3627301938317,0.9703968042285218,0.0,0.0,-0.29221206655354004,-1.1153197806657942,6.5127290308711805,0
0.0,84.71889889429431,-2.2610892881094697,46.76905843918695,0.0,85.59810232117057,4.291618618061237,-50.10070514841473,-40.01409439650989,1.112591584674088,0.0,0.0,-0.3726152030151478,-1.2805977015818057,5.2571939768748,1
0.0,85.9489524060586,-0.35513579073851576,44.14432973381147,0.0,86.34066691065252,4.503586178789392,-47.30096219756753,-36.171418232095505,1.2118500107869792,0.0,0.0,-0.5216273216164823,-1.3423436615086277,4.880018206968206,2
0.0,85.64610125544031,-0.2054379448557608,43.23001480114225,0.0,86.93773974416698,2.228899014310421,-46.44955430918824,-35.07225193593768,1.2368776538969202,0.0,0.0,-0.45950539718023764,-1.3374723704588183,4.437358959767453,3
0.0,85.70822646320649,-0.3294476853979378,41.94761066975907,0.0,87.09985108028292,2.248237017692574,-45.16325936175774,-34.29902608178134,1.2602238401490806,0.0,0.0,-0.5373725349691268,-1.3432256788980956,3.873384683597824,4
0.0,85.6539588233627,-0.4035198242352717,41.72150804603688,0.0,87.16964603515098,2.190146312959948,-44.92553382689997,-34.711137878251826,1.239896799201964,0.0,0.0,-0.6139764145361281,-1.3577078039211576,3.3370160025963536,5
0.0,86.38836283020981,1.822231072961269,41.26808497708709,0.0,87.1818474814467,2.1407038102024902,-44.477273146816756,-33.482376253378234,1.2531993202561083,0.0,0.0,-0.6655470104914382,-1.347932686187099,3.003427803748539,6
0.0,86.3362984903599,1.8591210418946953,41.28383867450821,0.0,86.97781405150182,2.589129046728412,-44.40789870451731,-32.02015571768486,1.2626094231576954,0.0,0.0,-0.6285241609644143,-1.3366578129717919,2.578349269520156,7
0.0,85.75482007761514,0.28770922805101923,41.777474018856296,0.0,86.84039843420122,2.63127871277012,-44.750679690652234,-29.90135141576531,1.295163883272888,0.0,0.0,-0.5884245637827222,-1.3183453266700538,2.2763997765751425,8
0.0,85.79795249320999,0.19650628276239357,42.55566711710954,0.0,86.70317731034038,2.7073702462573386,-45.49231053398495,-28.547251580243348,1.3335208020830362,0.0,0.0,-0.5469904406324148,-1.2656016061790238,1.7047712458167572,9
